value,timestamp
THINK-STOP,2022-03-13 23:15:04.669509
SAY-STOP,2022-03-13 23:15:20.672366
THINK-YES,2022-03-13 23:15:36.681233
THINK-STOP,2022-03-13 23:15:52.670242
THINK-YES,2022-03-13 23:16:08.668274
SAY-STOP,2022-03-13 23:16:24.666321
SAY-STOP,2022-03-13 23:16:40.676770
SAY-YES,2022-03-13 23:16:56.668241
THINK-YES,2022-03-13 23:17:12.675076
SAY-YES,2022-03-13 23:17:28.680297
THINK-STOP,2022-03-13 23:17:44.674503
THINK-YES,2022-03-13 23:18:00.673979
THINK-YES,2022-03-13 23:18:16.670821
SAY-STOP,2022-03-13 23:18:32.674258
SAY-STOP,2022-03-13 23:18:48.666035
SAY-YES,2022-03-13 23:19:04.672693
SAY-YES,2022-03-13 23:19:20.678780
THINK-YES,2022-03-13 23:19:36.675371
SAY-YES,2022-03-13 23:19:52.673950
THINK-STOP,2022-03-13 23:20:08.670330
SAY-STOP,2022-03-13 23:20:24.672063
THINK-YES,2022-03-13 23:20:40.677465
SAY-YES,2022-03-13 23:20:56.681082
THINK-STOP,2022-03-13 23:21:12.671809
SAY-YES,2022-03-13 23:21:28.671106
SAY-STOP,2022-03-13 23:21:44.674166
SAY-STOP,2022-03-13 23:22:00.679412
SAY-YES,2022-03-13 23:22:16.669490
THINK-STOP,2022-03-13 23:22:32.675925
THINK-STOP,2022-03-13 23:22:48.666880
