value,timestamp
0,2022-03-13 23:14:57.708096
0,2022-03-13 23:14:58.688820
44,2022-03-13 23:14:59.679017
50,2022-03-13 23:15:00.686301
60,2022-03-13 23:15:01.691374
66,2022-03-13 23:15:02.682963
69,2022-03-13 23:15:03.716381
77,2022-03-13 23:15:04.724354
84,2022-03-13 23:15:05.688314
88,2022-03-13 23:15:06.689884
91,2022-03-13 23:15:07.692361
88,2022-03-13 23:15:08.681009
67,2022-03-13 23:15:09.687025
44,2022-03-13 23:15:10.678202
37,2022-03-13 23:15:11.696462
26,2022-03-13 23:15:12.685424
24,2022-03-13 23:15:13.680768
44,2022-03-13 23:15:14.674512
44,2022-03-13 23:15:15.712396
48,2022-03-13 23:15:16.677741
50,2022-03-13 23:15:17.687211
54,2022-03-13 23:15:18.692242
57,2022-03-13 23:15:19.704846
44,2022-03-13 23:15:20.687301
48,2022-03-13 23:15:21.677263
60,2022-03-13 23:15:22.735176
53,2022-03-13 23:15:23.686385
63,2022-03-13 23:15:24.675366
74,2022-03-13 23:15:25.677023
50,2022-03-13 23:15:26.675220
53,2022-03-13 23:15:27.677902
34,2022-03-13 23:15:28.678280
30,2022-03-13 23:15:29.701215
37,2022-03-13 23:15:30.685614
14,2022-03-13 23:15:31.675458
26,2022-03-13 23:15:32.677750
16,2022-03-13 23:15:33.679589
26,2022-03-13 23:15:34.675939
34,2022-03-13 23:15:35.706549
34,2022-03-13 23:15:36.681233
27,2022-03-13 23:15:37.686768
27,2022-03-13 23:15:38.679269
21,2022-03-13 23:15:39.684020
41,2022-03-13 23:15:40.707945
38,2022-03-13 23:15:41.684362
41,2022-03-13 23:15:42.676985
56,2022-03-13 23:15:43.684696
61,2022-03-13 23:15:44.685751
80,2022-03-13 23:15:45.684357
80,2022-03-13 23:15:46.679826
61,2022-03-13 23:15:47.726197
35,2022-03-13 23:15:48.687429
11,2022-03-13 23:15:49.687378
4,2022-03-13 23:15:50.676734
11,2022-03-13 23:15:51.715683
30,2022-03-13 23:15:52.686306
50,2022-03-13 23:15:53.690921
54,2022-03-13 23:15:54.712745
74,2022-03-13 23:15:55.678823
61,2022-03-13 23:15:56.680392
54,2022-03-13 23:15:57.687782
44,2022-03-13 23:15:58.697416
16,2022-03-13 23:15:59.689542
11,2022-03-13 23:16:00.688581
21,2022-03-13 23:16:01.679013
30,2022-03-13 23:16:02.685481
54,2022-03-13 23:16:03.681030
60,2022-03-13 23:16:04.678070
34,2022-03-13 23:16:05.731745
41,2022-03-13 23:16:06.684849
23,2022-03-13 23:16:07.707860
29,2022-03-13 23:16:08.681316
50,2022-03-13 23:16:09.683708
34,2022-03-13 23:16:10.686205
54,2022-03-13 23:16:11.684838
57,2022-03-13 23:16:12.706929
61,2022-03-13 23:16:13.674008
61,2022-03-13 23:16:14.684198
61,2022-03-13 23:16:15.681589
63,2022-03-13 23:16:16.679554
48,2022-03-13 23:16:17.679880
43,2022-03-13 23:16:18.677485
37,2022-03-13 23:16:19.695473
37,2022-03-13 23:16:20.681986
43,2022-03-13 23:16:21.679737
51,2022-03-13 23:16:22.680530
56,2022-03-13 23:16:23.696498
54,2022-03-13 23:16:24.679422
50,2022-03-13 23:16:25.689830
51,2022-03-13 23:16:26.691380
78,2022-03-13 23:16:27.689880
74,2022-03-13 23:16:28.681262
87,2022-03-13 23:16:29.675847
80,2022-03-13 23:16:30.703928
74,2022-03-13 23:16:31.676287
57,2022-03-13 23:16:32.679629
48,2022-03-13 23:16:33.686508
30,2022-03-13 23:16:34.684779
1,2022-03-13 23:16:35.675828
23,2022-03-13 23:16:36.680116
23,2022-03-13 23:16:37.709980
35,2022-03-13 23:16:38.688942
57,2022-03-13 23:16:39.689378
57,2022-03-13 23:16:40.676770
44,2022-03-13 23:16:41.711608
44,2022-03-13 23:16:42.675882
41,2022-03-13 23:16:43.687502
30,2022-03-13 23:16:44.679237
51,2022-03-13 23:16:45.675178
47,2022-03-13 23:16:46.684175
38,2022-03-13 23:16:47.676010
50,2022-03-13 23:16:48.721713
37,2022-03-13 23:16:49.690725
29,2022-03-13 23:16:50.690575
41,2022-03-13 23:16:51.696798
37,2022-03-13 23:16:52.675142
51,2022-03-13 23:16:53.678234
69,2022-03-13 23:16:54.674030
81,2022-03-13 23:16:55.711348
75,2022-03-13 23:16:56.684216
64,2022-03-13 23:16:57.679464
60,2022-03-13 23:16:58.678771
48,2022-03-13 23:16:59.677792
54,2022-03-13 23:17:00.682727
56,2022-03-13 23:17:01.684108
67,2022-03-13 23:17:02.686142
69,2022-03-13 23:17:03.684486
74,2022-03-13 23:17:04.679456
80,2022-03-13 23:17:05.676996
67,2022-03-13 23:17:06.728948
53,2022-03-13 23:17:07.676304
56,2022-03-13 23:17:08.677733
48,2022-03-13 23:17:09.690255
51,2022-03-13 23:17:10.683923
53,2022-03-13 23:17:11.677001
51,2022-03-13 23:17:12.675076
60,2022-03-13 23:17:13.715990
60,2022-03-13 23:17:14.680564
87,2022-03-13 23:17:15.679714
84,2022-03-13 23:17:16.684745
93,2022-03-13 23:17:17.684091
81,2022-03-13 23:17:18.682406
51,2022-03-13 23:17:19.675086
56,2022-03-13 23:17:20.732508
40,2022-03-13 23:17:21.673979
47,2022-03-13 23:17:22.683481
66,2022-03-13 23:17:23.696133
54,2022-03-13 23:17:24.710586
63,2022-03-13 23:17:25.687391
80,2022-03-13 23:17:26.678794
56,2022-03-13 23:17:27.720048
60,2022-03-13 23:17:28.680297
44,2022-03-13 23:17:29.687498
35,2022-03-13 23:17:30.675559
44,2022-03-13 23:17:31.720931
38,2022-03-13 23:17:32.684572
51,2022-03-13 23:17:33.681490
40,2022-03-13 23:17:34.688636
51,2022-03-13 23:17:35.683773
51,2022-03-13 23:17:36.680972
43,2022-03-13 23:17:37.685260
41,2022-03-13 23:17:38.703264
38,2022-03-13 23:17:39.677149
47,2022-03-13 23:17:40.676056
47,2022-03-13 23:17:41.685635
51,2022-03-13 23:17:42.678562
38,2022-03-13 23:17:43.687655
30,2022-03-13 23:17:44.674503
47,2022-03-13 23:17:45.706654
53,2022-03-13 23:17:46.679100
44,2022-03-13 23:17:47.677131
51,2022-03-13 23:17:48.689611
50,2022-03-13 23:17:49.726054
47,2022-03-13 23:17:50.677149
66,2022-03-13 23:17:51.686597
64,2022-03-13 23:17:52.713725
51,2022-03-13 23:17:53.686454
67,2022-03-13 23:17:54.675808
77,2022-03-13 23:17:55.700451
84,2022-03-13 23:17:56.712159
84,2022-03-13 23:17:57.678117
70,2022-03-13 23:17:58.686199
54,2022-03-13 23:17:59.679322
43,2022-03-13 23:18:00.673979
44,2022-03-13 23:18:01.677113
35,2022-03-13 23:18:02.675638
37,2022-03-13 23:18:03.702149
30,2022-03-13 23:18:04.678416
23,2022-03-13 23:18:05.674957
23,2022-03-13 23:18:06.675720
26,2022-03-13 23:18:07.698682
26,2022-03-13 23:18:08.678022
35,2022-03-13 23:18:09.681154
37,2022-03-13 23:18:10.690510
43,2022-03-13 23:18:11.678834
41,2022-03-13 23:18:12.676571
26,2022-03-13 23:18:13.677135
44,2022-03-13 23:18:14.725009
35,2022-03-13 23:18:15.678463
38,2022-03-13 23:18:16.686699
61,2022-03-13 23:18:17.691382
60,2022-03-13 23:18:18.677599
56,2022-03-13 23:18:19.686608
48,2022-03-13 23:18:20.681663
44,2022-03-13 23:18:21.700262
53,2022-03-13 23:18:22.682038
61,2022-03-13 23:18:23.687082
88,2022-03-13 23:18:24.679393
84,2022-03-13 23:18:25.678767
80,2022-03-13 23:18:26.673930
88,2022-03-13 23:18:27.674021
77,2022-03-13 23:18:28.679592
75,2022-03-13 23:18:29.678331
64,2022-03-13 23:18:30.679475
38,2022-03-13 23:18:31.675232
38,2022-03-13 23:18:32.732630
43,2022-03-13 23:18:33.681376
27,2022-03-13 23:18:34.677907
47,2022-03-13 23:18:35.687652
38,2022-03-13 23:18:36.673176
23,2022-03-13 23:18:37.678578
40,2022-03-13 23:18:38.673552
21,2022-03-13 23:18:39.700767
20,2022-03-13 23:18:40.681430
17,2022-03-13 23:18:41.675999
26,2022-03-13 23:18:42.688105
29,2022-03-13 23:18:43.678340
27,2022-03-13 23:18:44.682080
50,2022-03-13 23:18:45.683561
44,2022-03-13 23:18:46.697260
50,2022-03-13 23:18:47.675287
63,2022-03-13 23:18:48.682266
54,2022-03-13 23:18:49.676576
54,2022-03-13 23:18:50.701111
54,2022-03-13 23:18:51.676685
61,2022-03-13 23:18:52.684495
56,2022-03-13 23:18:53.678476
41,2022-03-13 23:18:54.678913
53,2022-03-13 23:18:55.676232
44,2022-03-13 23:18:56.676986
54,2022-03-13 23:18:57.709249
66,2022-03-13 23:18:58.677886
61,2022-03-13 23:18:59.676253
54,2022-03-13 23:19:00.676088
51,2022-03-13 23:19:01.673613
54,2022-03-13 23:19:02.687018
44,2022-03-13 23:19:03.675158
44,2022-03-13 23:19:04.704640
34,2022-03-13 23:19:05.676580
30,2022-03-13 23:19:06.678568
30,2022-03-13 23:19:07.672467
27,2022-03-13 23:19:08.686279
35,2022-03-13 23:19:09.677533
35,2022-03-13 23:19:10.677513
35,2022-03-13 23:19:11.682707
24,2022-03-13 23:19:12.679541
29,2022-03-13 23:19:13.682746
34,2022-03-13 23:19:14.681812
44,2022-03-13 23:19:15.726734
56,2022-03-13 23:19:16.684977
69,2022-03-13 23:19:17.673279
80,2022-03-13 23:19:18.675210
64,2022-03-13 23:19:19.677748
53,2022-03-13 23:19:20.678780
50,2022-03-13 23:19:21.675111
50,2022-03-13 23:19:22.703139
35,2022-03-13 23:19:23.683231
41,2022-03-13 23:19:24.675953
40,2022-03-13 23:19:25.675019
24,2022-03-13 23:19:26.671601
27,2022-03-13 23:19:27.679890
35,2022-03-13 23:19:28.680335
44,2022-03-13 23:19:29.692431
57,2022-03-13 23:19:30.680958
75,2022-03-13 23:19:31.677022
74,2022-03-13 23:19:32.687123
75,2022-03-13 23:19:33.701085
69,2022-03-13 23:19:34.671234
57,2022-03-13 23:19:35.674406
50,2022-03-13 23:19:36.691356
48,2022-03-13 23:19:37.675346
43,2022-03-13 23:19:38.685004
44,2022-03-13 23:19:39.676718
51,2022-03-13 23:19:40.714938
38,2022-03-13 23:19:41.673031
26,2022-03-13 23:19:42.678450
17,2022-03-13 23:19:43.674491
11,2022-03-13 23:19:44.674570
20,2022-03-13 23:19:45.674979
35,2022-03-13 23:19:46.679324
43,2022-03-13 23:19:47.711151
50,2022-03-13 23:19:48.676363
57,2022-03-13 23:19:49.684738
54,2022-03-13 23:19:50.674615
51,2022-03-13 23:19:51.680478
54,2022-03-13 23:19:52.673950
47,2022-03-13 23:19:53.685031
50,2022-03-13 23:19:54.691773
43,2022-03-13 23:19:55.677109
35,2022-03-13 23:19:56.677722
51,2022-03-13 23:19:57.675639
60,2022-03-13 23:19:58.712044
75,2022-03-13 23:19:59.675798
75,2022-03-13 23:20:00.677856
75,2022-03-13 23:20:01.677446
74,2022-03-13 23:20:02.676444
57,2022-03-13 23:20:03.685522
48,2022-03-13 23:20:04.672075
30,2022-03-13 23:20:05.703442
30,2022-03-13 23:20:06.685369
27,2022-03-13 23:20:07.676132
44,2022-03-13 23:20:08.683184
47,2022-03-13 23:20:09.674399
41,2022-03-13 23:20:10.675677
34,2022-03-13 23:20:11.681321
26,2022-03-13 23:20:12.692148
35,2022-03-13 23:20:13.683773
35,2022-03-13 23:20:14.677715
51,2022-03-13 23:20:15.676362
50,2022-03-13 23:20:16.733768
61,2022-03-13 23:20:17.676736
74,2022-03-13 23:20:18.676936
69,2022-03-13 23:20:19.676165
74,2022-03-13 23:20:20.671760
57,2022-03-13 23:20:21.678956
60,2022-03-13 23:20:22.678157
60,2022-03-13 23:20:23.739443
64,2022-03-13 23:20:24.672063
70,2022-03-13 23:20:25.680152
63,2022-03-13 23:20:26.681324
50,2022-03-13 23:20:27.671383
37,2022-03-13 23:20:28.683384
37,2022-03-13 23:20:29.680115
47,2022-03-13 23:20:30.694556
63,2022-03-13 23:20:31.686590
63,2022-03-13 23:20:32.685800
64,2022-03-13 23:20:33.679080
66,2022-03-13 23:20:34.718062
60,2022-03-13 23:20:35.696554
56,2022-03-13 23:20:36.674132
69,2022-03-13 23:20:37.689265
67,2022-03-13 23:20:38.676343
70,2022-03-13 23:20:39.681477
84,2022-03-13 23:20:40.677465
70,2022-03-13 23:20:41.717136
69,2022-03-13 23:20:42.674025
63,2022-03-13 23:20:43.675119
57,2022-03-13 23:20:44.684187
61,2022-03-13 23:20:45.676526
48,2022-03-13 23:20:46.686487
29,2022-03-13 23:20:47.680901
24,2022-03-13 23:20:48.702380
27,2022-03-13 23:20:49.675815
34,2022-03-13 23:20:50.682388
56,2022-03-13 23:20:51.673983
60,2022-03-13 23:20:52.680832
53,2022-03-13 23:20:53.678479
66,2022-03-13 23:20:54.675556
48,2022-03-13 23:20:55.731576
51,2022-03-13 23:20:56.681082
53,2022-03-13 23:20:57.677105
56,2022-03-13 23:20:58.683007
70,2022-03-13 23:20:59.727279
77,2022-03-13 23:21:00.682399
74,2022-03-13 23:21:01.680395
48,2022-03-13 23:21:02.676980
53,2022-03-13 23:21:03.677015
50,2022-03-13 23:21:04.671835
44,2022-03-13 23:21:05.680104
53,2022-03-13 23:21:06.711827
47,2022-03-13 23:21:07.676806
51,2022-03-13 23:21:08.685508
53,2022-03-13 23:21:09.671038
56,2022-03-13 23:21:10.684932
61,2022-03-13 23:21:11.684945
44,2022-03-13 23:21:12.670949
44,2022-03-13 23:21:13.696573
50,2022-03-13 23:21:14.686415
48,2022-03-13 23:21:15.675389
44,2022-03-13 23:21:16.679480
38,2022-03-13 23:21:17.701300
30,2022-03-13 23:21:18.678401
41,2022-03-13 23:21:19.677834
54,2022-03-13 23:21:20.698796
57,2022-03-13 23:21:21.676257
64,2022-03-13 23:21:22.679918
35,2022-03-13 23:21:23.676742
29,2022-03-13 23:21:24.706285
30,2022-03-13 23:21:25.681018
30,2022-03-13 23:21:26.672251
34,2022-03-13 23:21:27.675432
35,2022-03-13 23:21:28.671106
35,2022-03-13 23:21:29.684222
21,2022-03-13 23:21:30.674807
38,2022-03-13 23:21:31.708357
44,2022-03-13 23:21:32.677455
57,2022-03-13 23:21:33.678907
80,2022-03-13 23:21:34.686631
66,2022-03-13 23:21:35.685724
63,2022-03-13 23:21:36.687733
53,2022-03-13 23:21:37.681212
44,2022-03-13 23:21:38.708552
51,2022-03-13 23:21:39.675868
41,2022-03-13 23:21:40.679732
40,2022-03-13 23:21:41.675449
44,2022-03-13 23:21:42.734654
51,2022-03-13 23:21:43.680253
57,2022-03-13 23:21:44.674166
61,2022-03-13 23:21:45.698073
48,2022-03-13 23:21:46.675101
61,2022-03-13 23:21:47.682263
51,2022-03-13 23:21:48.672938
34,2022-03-13 23:21:49.701863
34,2022-03-13 23:21:50.680364
26,2022-03-13 23:21:51.682359
35,2022-03-13 23:21:52.694012
61,2022-03-13 23:21:53.679088
69,2022-03-13 23:21:54.675514
56,2022-03-13 23:21:55.677578
66,2022-03-13 23:21:56.694769
69,2022-03-13 23:21:57.675052
75,2022-03-13 23:21:58.680874
90,2022-03-13 23:21:59.677563
80,2022-03-13 23:22:00.696170
60,2022-03-13 23:22:01.681617
