delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
40658,18500,17288,5423,9017,20410,18323,5644,2022-03-13 23:14:57.708096
54984,17133,3165,3146,6329,3501,2067,1228,2022-03-13 23:14:58.688774
9656,15395,23951,7694,7456,12645,9047,9604,2022-03-13 23:14:59.679017
7182,34535,5816,4794,14464,10535,7188,6911,2022-03-13 23:15:00.686301
8624,42456,2255,14987,13373,25852,3828,7188,2022-03-13 23:15:01.691374
24152,14782,6653,16063,31548,11060,6211,2461,2022-03-13 23:15:02.682963
18444,21742,11749,9606,15769,14512,12957,6356,2022-03-13 23:15:03.716381
35955,22825,12070,12742,13764,21350,10751,3139,2022-03-13 23:15:04.724354
49592,11477,4594,13163,14111,24821,3129,5462,2022-03-13 23:15:05.688314
13279,24998,6892,21024,14361,19218,12388,3524,2022-03-13 23:15:06.689884
11719,6755,9413,4883,10015,11115,5041,1875,2022-03-13 23:15:07.692361
480852,128656,21489,52344,77222,58154,16393,6413,2022-03-13 23:15:08.681009
1153070,45931,1954,23191,24392,10886,7620,2957,2022-03-13 23:15:09.687025
705061,214121,17299,34808,10891,12844,5986,4963,2022-03-13 23:15:10.678202
160650,29459,46622,17615,25019,22606,7582,13782,2022-03-13 23:15:11.696462
238845,81017,23034,97264,25517,22152,15301,6385,2022-03-13 23:15:12.685424
80971,45176,1766,10802,7926,7784,2378,3041,2022-03-13 23:15:13.680768
872174,511462,684581,491087,416237,460899,121329,37676,2022-03-13 23:15:14.674512
616258,253900,281415,147352,51792,33738,12192,8346,2022-03-13 23:15:15.712396
378764,60412,15776,29070,19090,30347,10168,9790,2022-03-13 23:15:16.676845
103555,27664,3550,2109,1544,4098,1813,5148,2022-03-13 23:15:17.687211
124940,68875,27014,8369,5827,20977,8181,7002,2022-03-13 23:15:18.692242
64572,50456,8371,18268,15603,32140,11544,5527,2022-03-13 23:15:19.704846
696846,98610,12063,7441,12857,10557,16845,5084,2022-03-13 23:15:20.687301
235032,143677,11665,4874,117187,27599,16191,3678,2022-03-13 23:15:21.677263
39022,6510,1203,3001,4467,6908,3402,1640,2022-03-13 23:15:22.735176
16380,36275,17413,8240,28282,13426,11234,2714,2022-03-13 23:15:23.686385
22705,19517,12624,6742,7593,9131,5490,4628,2022-03-13 23:15:24.675366
35657,14450,19308,4280,24012,17314,3370,5205,2022-03-13 23:15:25.677023
205293,226433,48172,66343,42080,23032,12652,12358,2022-03-13 23:15:26.675220
32171,25951,6183,6853,22038,12280,4959,4568,2022-03-13 23:15:27.677902
219687,12935,3895,1601,1401,686,256,401,2022-03-13 23:15:28.678280
64783,33871,3937,7841,13422,16642,5511,9277,2022-03-13 23:15:29.701215
1578379,140503,12201,8194,16478,15361,8030,2399,2022-03-13 23:15:30.685614
239734,27907,3187,3587,1374,1535,736,777,2022-03-13 23:15:31.675458
40406,26161,4453,3445,8113,3457,3042,1936,2022-03-13 23:15:32.677750
139312,30063,3851,3159,5235,6773,3409,930,2022-03-13 23:15:33.679589
57379,10748,11608,7943,11352,7234,10037,4394,2022-03-13 23:15:34.675939
7235,42013,19534,13662,6880,6864,10557,4577,2022-03-13 23:15:35.706549
412692,66721,54939,26149,19283,15250,5291,1717,2022-03-13 23:15:36.681233
1096410,61836,8109,42854,11820,11551,5655,4836,2022-03-13 23:15:37.686768
27757,25035,1951,9845,13971,9103,1285,2107,2022-03-13 23:15:38.679269
76021,49729,5703,5802,5016,3526,2592,1620,2022-03-13 23:15:39.684020
8508,13623,9014,7644,15389,15611,3599,3765,2022-03-13 23:15:40.707945
49772,19824,2416,3386,6032,2050,2437,1146,2022-03-13 23:15:41.684362
214378,83932,33934,11646,26125,37670,16912,9083,2022-03-13 23:15:42.676985
