value,timestamp
THINK-STOP,2022-03-13 23:25:35.580877
THINK-YES,2022-03-13 23:25:51.581228
SAY-YES,2022-03-13 23:26:07.586484
THINK-STOP,2022-03-13 23:26:23.583139
SAY-STOP,2022-03-13 23:26:39.602824
THINK-STOP,2022-03-13 23:26:55.600572
THINK-YES,2022-03-13 23:27:11.589866
SAY-STOP,2022-03-13 23:27:27.591427
THINK-YES,2022-03-13 23:27:43.593754
SAY-YES,2022-03-13 23:27:59.598707
SAY-YES,2022-03-13 23:28:15.602617
SAY-STOP,2022-03-13 23:28:31.596590
SAY-YES,2022-03-13 23:28:47.598581
THINK-STOP,2022-03-13 23:29:03.592684
THINK-STOP,2022-03-13 23:29:19.591485
SAY-STOP,2022-03-13 23:29:35.594839
THINK-STOP,2022-03-13 23:29:51.596582
THINK-STOP,2022-03-13 23:30:07.599654
THINK-STOP,2022-03-13 23:30:23.598544
THINK-YES,2022-03-13 23:30:39.598135
THINK-YES,2022-03-13 23:30:55.596992
THINK-YES,2022-03-13 23:31:11.590028
THINK-STOP,2022-03-13 23:31:27.598945
THINK-YES,2022-03-13 23:31:43.598429
SAY-YES,2022-03-13 23:31:59.594967
THINK-STOP,2022-03-13 23:32:15.601885
THINK-YES,2022-03-13 23:32:31.603569
THINK-YES,2022-03-13 23:32:47.595312
THINK-YES,2022-03-13 23:33:03.587927
THINK-STOP,2022-03-13 23:33:19.598133
THINK-STOP,2022-03-13 23:33:35.602413
THINK-STOP,2022-03-13 23:33:51.590078
THINK-YES,2022-03-13 23:34:07.598298
SAY-STOP,2022-03-13 23:34:23.593711
SAY-STOP,2022-03-13 23:34:39.597865
SAY-YES,2022-03-13 23:34:55.593922
THINK-YES,2022-03-13 23:35:11.601414
THINK-STOP,2022-03-13 23:35:27.598710
THINK-YES,2022-03-13 23:35:43.597393
THINK-YES,2022-03-13 23:35:59.595236
