delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
34497,7471,35637,24896,6173,9970,9721,3321,2022-03-13 23:25:28.572346
11725,6414,3424,4840,3008,13828,5322,2328,2022-03-13 23:25:29.572735
25299,16749,10682,5342,4800,9432,2771,3765,2022-03-13 23:25:30.588338
23898,23849,9612,689,4348,7902,2445,4084,2022-03-13 23:25:31.565753
113107,88100,11771,27512,17156,5759,3941,1979,2022-03-13 23:25:32.570142
6139,5416,15063,4676,9076,5151,15331,2899,2022-03-13 23:25:33.560488
66836,17629,5849,1005,2970,1407,580,1010,2022-03-13 23:25:34.587668
14605,10426,7958,7112,5478,8717,5367,5386,2022-03-13 23:25:35.568189
15787,7436,10011,9433,4263,5033,1880,3991,2022-03-13 23:25:36.562274
7481,2160,3242,2132,2604,5809,3212,1962,2022-03-13 23:25:37.580310
16114,12200,7198,2331,1750,5799,5328,3356,2022-03-13 23:25:38.562631
12686,22115,9797,1860,4980,2482,3177,2993,2022-03-13 23:25:39.558374
15927,4939,3359,5663,7312,2394,3074,1391,2022-03-13 23:25:40.570084
42523,12342,2371,2068,500,2431,528,612,2022-03-13 23:25:41.598546
18178,22885,4010,3577,5835,9409,4516,2176,2022-03-13 23:25:42.561810
3150983,158342,50198,6087,11141,12849,22180,21740,2022-03-13 23:25:43.566715
2363762,1798959,41600,87860,20149,45467,65255,33146,2022-03-13 23:25:44.559900
151662,106924,42942,12289,6994,3747,6597,5874,2022-03-13 23:25:45.566665
52897,33620,13798,8416,10663,26198,25209,36530,2022-03-13 23:25:46.578646
15257,12543,54085,12705,38720,17129,20097,7632,2022-03-13 23:25:47.562642
10130,23076,4817,5817,8837,14010,4602,14983,2022-03-13 23:25:48.593251
147849,12521,6547,1874,2685,7941,3188,2626,2022-03-13 23:25:49.565837
17114,24295,3507,14632,4930,13306,16250,10646,2022-03-13 23:25:50.569877
20455,4516,1136,4123,4120,15101,9834,23391,2022-03-13 23:25:51.565151
8447,11308,7043,8154,2553,18577,7183,5220,2022-03-13 23:25:52.563447
5060,4486,4704,4696,9791,8337,9662,4195,2022-03-13 23:25:53.564733
6206,10543,6779,4182,6927,11685,3961,3526,2022-03-13 23:25:54.563022
3730,3351,348,5625,7372,6759,2627,5654,2022-03-13 23:25:55.582244
73843,15210,4709,1901,6596,6246,2099,835,2022-03-13 23:25:56.567201
6055,6769,30224,8992,4794,12567,7482,7658,2022-03-13 23:25:57.564612
15781,3853,1671,12657,11898,11369,9096,7954,2022-03-13 23:25:58.569214
7656,23961,10113,6632,12741,6819,4717,12517,2022-03-13 23:25:59.613301
11364,3381,12423,12314,7662,9885,3854,4827,2022-03-13 23:26:00.573530
4926,5918,2225,1150,3917,5200,4314,2708,2022-03-13 23:26:01.566111
33729,21077,9716,2584,1160,1266,1291,644,2022-03-13 23:26:02.569280
8264,5422,3571,1614,4468,4532,4477,1561,2022-03-13 23:26:03.564367
153163,54289,3709,285,2448,1682,684,1044,2022-03-13 23:26:04.569351
9268,3066,4283,22469,5600,5720,2694,4013,2022-03-13 23:26:05.563641
24340,20867,11558,4809,2282,10040,6716,4003,2022-03-13 23:26:06.597935
8559,6467,6673,10086,13081,5549,4606,5163,2022-03-13 23:26:07.570551
36542,47747,11248,10388,11476,6611,11516,7831,2022-03-13 23:26:08.569513
618765,23460,19999,14488,11672,7951,8218,17207,2022-03-13 23:26:09.566739
7253,5806,8442,7021,11456,5962,8316,5097,2022-03-13 23:26:10.573142
10189,10239,4871,4900,5030,6364,5733,5053,2022-03-13 23:26:11.573579
7992,16627,15513,3319,17560,10877,5643,1363,2022-03-13 23:26:12.571198
607755,187331,67411,72818,6900,58728,46923,34963,2022-03-13 23:26:13.580726
1254155,97532,17396,36132,11077,14633,8917,11245,2022-03-13 23:26:14.563623
2152915,139740,36244,4327,6587,6288,15927,3126,2022-03-13 23:26:15.563312
5590,11864,27781,13296,19984,18312,27970,7386,2022-03-13 23:26:16.569320
81272,53470,22651,45243,5808,14899,7983,9623,2022-03-13 23:26:17.583905
5805,21424,15480,8805,5907,4670,6762,4701,2022-03-13 23:26:18.593838
86993,107122,35588,16716,52314,17355,26709,12748,2022-03-13 23:26:19.566174
37672,6807,1409,1047,3593,2471,1010,3150,2022-03-13 23:26:20.569661
13659,5552,12836,8990,8179,14535,7107,7417,2022-03-13 23:26:21.558860
80995,35101,12125,3017,19783,8535,7394,5480,2022-03-13 23:26:22.565112
43269,18567,4871,4521,5671,2797,1733,1121,2022-03-13 23:26:23.567172
5092,5520,13673,8151,6421,7918,7738,4937,2022-03-13 23:26:24.606601
18218,7095,7363,4007,4357,8729,5241,3907,2022-03-13 23:26:25.562318
19263,21563,7964,4097,4478,6132,6090,5088,2022-03-13 23:26:26.573441
7047,12211,4375,7009,3321,5300,2074,1934,2022-03-13 23:26:27.562358
16151,7525,1318,17822,7795,4838,2787,5547,2022-03-13 23:26:28.560441
104257,4764,2812,990,1769,595,474,196,2022-03-13 23:26:29.571965
1959046,279170,80259,42383,21788,23315,84307,24525,2022-03-13 23:26:30.565484
59863,13839,2961,2677,1471,1734,2653,1264,2022-03-13 23:26:31.584952
146337,88066,43146,24439,14272,7732,5728,8960,2022-03-13 23:26:32.569953
468208,45715,15566,3689,5521,5571,3461,704,2022-03-13 23:26:33.568987
657260,248831,12320,24048,62687,35494,40550,12949,2022-03-13 23:26:34.559468
1108689,136976,17428,3621,7140,6647,5468,2033,2022-03-13 23:26:35.569404
15097,21027,6058,3046,4737,7394,5918,7039,2022-03-13 23:26:36.571350
4792,15284,5565,6320,10961,15658,1627,2751,2022-03-13 23:26:37.561116
194383,61634,7803,33723,17363,8991,5188,1263,2022-03-13 23:26:38.578499
9080,6769,3435,3141,4526,4664,1986,4690,2022-03-13 23:26:39.558803
33603,8983,3163,569,4688,8476,4266,1701,2022-03-13 23:26:40.562539
17621,26886,2503,5227,601,5253,1483,1994,2022-03-13 23:26:41.566357
3331,7984,2119,1918,1567,4953,3032,1868,2022-03-13 23:26:42.637899
69183,35417,16034,3776,5116,6429,10850,2930,2022-03-13 23:26:43.571419
698742,652146,347667,62893,22405,57839,29217,34318,2022-03-13 23:26:44.564981
1771866,193951,13038,65481,62954,26970,27158,20629,2022-03-13 23:26:45.570353
67194,16323,2316,2884,2361,7767,6935,7015,2022-03-13 23:26:46.565423
343720,32332,7994,1253,1395,2194,3471,3041,2022-03-13 23:26:47.564467
131242,15414,1009,1868,4136,6093,31608,1876,2022-03-13 23:26:48.569107
82107,21190,6764,8900,4331,14879,12051,8228,2022-03-13 23:26:49.581555
35251,19476,5207,9274,6194,4986,7194,5082,2022-03-13 23:26:50.585843
104368,47338,12076,16986,13200,10845,7107,4510,2022-03-13 23:26:51.562101
2109503,13898,87165,9406,62351,53201,74934,19833,2022-03-13 23:26:52.568566
244119,21979,3538,7780,3510,6588,7944,3923,2022-03-13 23:26:53.573255
304911,65805,2857,3159,1114,4265,9414,2613,2022-03-13 23:26:54.565109
157599,10682,9411,8222,2476,19091,7700,6093,2022-03-13 23:26:55.572188
24902,9040,7336,1090,9986,13056,26513,5992,2022-03-13 23:26:56.578544
12041,3084,2428,9008,3339,24176,17009,13403,2022-03-13 23:26:57.571766
5954,23794,4035,221,13952,20077,8126,5588,2022-03-13 23:26:58.564349
18105,5085,6789,12568,11784,22418,16943,14544,2022-03-13 23:26:59.569819
88251,19870,9482,1082,4101,4431,1977,1382,2022-03-13 23:27:00.586693
341237,122046,27070,8744,7801,20096,25246,8172,2022-03-13 23:27:01.572162
55444,7468,3854,1993,2871,11744,15915,8025,2022-03-13 23:27:02.567375
39479,18603,22265,24878,12308,7968,3796,5114,2022-03-13 23:27:03.569469
686602,123926,17533,25955,14471,16850,9948,3345,2022-03-13 23:27:04.565762
1979325,224005,197998,87514,65139,92650,47496,35443,2022-03-13 23:27:05.561290
782583,53709,17069,13573,19740,31680,18008,25430,2022-03-13 23:27:06.562916
133026,16220,11469,4155,9885,4899,5119,1891,2022-03-13 23:27:07.622511
1690680,64425,22470,19266,69170,48788,17347,7122,2022-03-13 23:27:08.565578
71721,39533,11340,5281,16899,18937,15639,33816,2022-03-13 23:27:09.560594
91066,23158,27911,8769,15792,10073,8892,17044,2022-03-13 23:27:10.563064
12534,15107,4792,6642,5097,19191,5601,9827,2022-03-13 23:27:11.560071
5205,6385,12537,5831,14220,8871,9960,4970,2022-03-13 23:27:12.561050
1436,7992,15648,11606,15852,19740,9429,6382,2022-03-13 23:27:13.567475
9163,4597,2305,3191,4335,8098,9999,4203,2022-03-13 23:27:14.561705
357004,22150,1069,8268,1763,2692,1143,622,2022-03-13 23:27:15.565282
11374,5223,5799,1548,6764,4229,2040,3895,2022-03-13 23:27:16.560537
19697,32685,1377,2489,2799,4025,1105,1253,2022-03-13 23:27:17.559314
228494,127174,4737,5875,2712,2141,827,596,2022-03-13 23:27:18.582539
119008,45447,3144,18242,7775,6262,2176,2622,2022-03-13 23:27:19.566929
448588,20087,3005,13962,4408,6118,5726,6208,2022-03-13 23:27:20.567888
126570,50944,16855,15187,14051,22752,8463,7669,2022-03-13 23:27:21.566900
333404,28350,9041,4599,18267,12203,5643,7532,2022-03-13 23:27:22.582809
14897,15147,12151,3953,18159,16688,60263,21895,2022-03-13 23:27:23.564716
199313,23614,11121,4732,5171,3194,10316,5167,2022-03-13 23:27:24.559790
13713,9451,9579,5290,10240,21369,9997,11573,2022-03-13 23:27:25.611543
