value,timestamp
0,2022-03-13 23:25:28.572346
0,2022-03-13 23:25:29.572735
40,2022-03-13 23:25:30.588338
38,2022-03-13 23:25:31.565753
21,2022-03-13 23:25:32.570142
17,2022-03-13 23:25:33.560488
3,2022-03-13 23:25:34.587668
8,2022-03-13 23:25:35.568189
21,2022-03-13 23:25:36.562274
35,2022-03-13 23:25:37.580310
50,2022-03-13 23:25:38.562631
34,2022-03-13 23:25:39.558374
34,2022-03-13 23:25:40.570084
16,2022-03-13 23:25:41.598546
17,2022-03-13 23:25:42.561810
16,2022-03-13 23:25:43.566715
1,2022-03-13 23:25:44.559900
1,2022-03-13 23:25:45.566665
1,2022-03-13 23:25:46.578646
11,2022-03-13 23:25:47.562642
37,2022-03-13 23:25:48.593251
61,2022-03-13 23:25:49.565837
57,2022-03-13 23:25:50.569877
75,2022-03-13 23:25:51.565151
81,2022-03-13 23:25:52.563447
84,2022-03-13 23:25:53.564733
90,2022-03-13 23:25:54.563022
83,2022-03-13 23:25:55.582244
75,2022-03-13 23:25:56.567201
66,2022-03-13 23:25:57.564612
67,2022-03-13 23:25:58.569214
56,2022-03-13 23:25:59.613301
57,2022-03-13 23:26:00.573530
63,2022-03-13 23:26:01.566111
38,2022-03-13 23:26:02.569280
44,2022-03-13 23:26:03.564367
23,2022-03-13 23:26:04.569351
13,2022-03-13 23:26:05.563641
30,2022-03-13 23:26:06.597935
26,2022-03-13 23:26:07.570551
37,2022-03-13 23:26:08.569513
34,2022-03-13 23:26:09.566739
34,2022-03-13 23:26:10.573142
37,2022-03-13 23:26:11.573579
48,2022-03-13 23:26:12.571198
50,2022-03-13 23:26:13.580726
40,2022-03-13 23:26:14.563623
20,2022-03-13 23:26:15.563312
21,2022-03-13 23:26:16.569320
20,2022-03-13 23:26:17.583905
20,2022-03-13 23:26:18.593838
30,2022-03-13 23:26:19.566174
27,2022-03-13 23:26:20.569661
41,2022-03-13 23:26:21.558860
44,2022-03-13 23:26:22.565112
43,2022-03-13 23:26:23.567172
44,2022-03-13 23:26:24.606601
43,2022-03-13 23:26:25.562318
43,2022-03-13 23:26:26.573441
51,2022-03-13 23:26:27.562358
47,2022-03-13 23:26:28.560441
29,2022-03-13 23:26:29.571965
20,2022-03-13 23:26:30.565484
11,2022-03-13 23:26:31.584952
1,2022-03-13 23:26:32.569953
1,2022-03-13 23:26:33.568987
8,2022-03-13 23:26:34.559468
3,2022-03-13 23:26:35.569404
16,2022-03-13 23:26:36.571350
35,2022-03-13 23:26:37.561116
30,2022-03-13 23:26:38.578499
50,2022-03-13 23:26:39.558803
60,2022-03-13 23:26:40.562539
47,2022-03-13 23:26:41.566357
61,2022-03-13 23:26:42.637899
51,2022-03-13 23:26:43.571419
27,2022-03-13 23:26:44.564981
23,2022-03-13 23:26:45.570353
23,2022-03-13 23:26:46.565423
16,2022-03-13 23:26:47.564467
30,2022-03-13 23:26:48.569107
44,2022-03-13 23:26:49.581555
35,2022-03-13 23:26:50.585843
44,2022-03-13 23:26:51.562101
48,2022-03-13 23:26:52.568566
41,2022-03-13 23:26:53.573255
34,2022-03-13 23:26:54.565109
48,2022-03-13 23:26:55.572188
51,2022-03-13 23:26:56.578544
70,2022-03-13 23:26:57.571766
93,2022-03-13 23:26:58.564349
94,2022-03-13 23:26:59.569819
80,2022-03-13 23:27:00.586693
57,2022-03-13 23:27:01.572162
60,2022-03-13 23:27:02.567375
41,2022-03-13 23:27:03.569469
38,2022-03-13 23:27:04.565762
41,2022-03-13 23:27:05.561290
35,2022-03-13 23:27:06.562916
37,2022-03-13 23:27:07.622511
50,2022-03-13 23:27:08.565578
54,2022-03-13 23:27:09.560594
48,2022-03-13 23:27:10.563064
61,2022-03-13 23:27:11.560071
60,2022-03-13 23:27:12.561050
63,2022-03-13 23:27:13.567475
78,2022-03-13 23:27:14.561705
57,2022-03-13 23:27:15.565282
57,2022-03-13 23:27:16.560537
44,2022-03-13 23:27:17.559314
13,2022-03-13 23:27:18.582539
17,2022-03-13 23:27:19.566929
11,2022-03-13 23:27:20.567888
21,2022-03-13 23:27:21.566900
44,2022-03-13 23:27:22.582809
60,2022-03-13 23:27:23.564716
54,2022-03-13 23:27:24.559790
64,2022-03-13 23:27:25.611543
69,2022-03-13 23:27:26.563925
75,2022-03-13 23:27:27.559041
80,2022-03-13 23:27:28.564681
75,2022-03-13 23:27:29.558802
69,2022-03-13 23:27:30.572354
56,2022-03-13 23:27:31.560958
61,2022-03-13 23:27:32.586763
35,2022-03-13 23:27:33.557432
24,2022-03-13 23:27:34.569239
23,2022-03-13 23:27:35.565043
3,2022-03-13 23:27:36.560421
26,2022-03-13 23:27:37.557084
27,2022-03-13 23:27:38.568043
30,2022-03-13 23:27:39.598148
63,2022-03-13 23:27:40.565567
61,2022-03-13 23:27:41.569762
78,2022-03-13 23:27:42.566083
93,2022-03-13 23:27:43.605953
