value,timestamp
0,2022-03-13 23:04:38.124428
0,2022-03-13 23:04:39.129378
38,2022-03-13 23:04:40.119666
35,2022-03-13 23:04:41.129274
43,2022-03-13 23:04:42.172177
51,2022-03-13 23:04:43.114192
48,2022-03-13 23:04:44.131185
40,2022-03-13 23:04:45.114813
29,2022-03-13 23:04:46.134490
21,2022-03-13 23:04:47.127069
34,2022-03-13 23:04:48.127099
37,2022-03-13 23:04:49.146624
37,2022-03-13 23:04:50.119757
21,2022-03-13 23:04:51.124620
8,2022-03-13 23:04:52.117433
13,2022-03-13 23:04:53.131317
16,2022-03-13 23:04:54.123835
29,2022-03-13 23:04:55.126027
41,2022-03-13 23:04:56.140061
61,2022-03-13 23:04:57.129445
56,2022-03-13 23:04:58.121585
66,2022-03-13 23:04:59.120270
70,2022-03-13 23:05:00.140037
74,2022-03-13 23:05:01.125482
77,2022-03-13 23:05:02.132797
74,2022-03-13 23:05:03.124316
56,2022-03-13 23:05:04.121250
56,2022-03-13 23:05:05.121157
61,2022-03-13 23:05:06.121478
63,2022-03-13 23:05:07.151163
66,2022-03-13 23:05:08.129324
57,2022-03-13 23:05:09.119248
63,2022-03-13 23:05:10.119760
66,2022-03-13 23:05:11.113832
77,2022-03-13 23:05:12.119622
78,2022-03-13 23:05:13.113880
77,2022-03-13 23:05:14.146324
67,2022-03-13 23:05:15.118520
64,2022-03-13 23:05:16.123868
57,2022-03-13 23:05:17.128226
54,2022-03-13 23:05:18.186492
64,2022-03-13 23:05:19.124355
57,2022-03-13 23:05:20.124738
56,2022-03-13 23:05:21.121099
44,2022-03-13 23:05:22.129343
34,2022-03-13 23:05:23.124970
48,2022-03-13 23:05:24.116400
56,2022-03-13 23:05:25.185758
74,2022-03-13 23:05:26.113253
83,2022-03-13 23:05:27.124898
67,2022-03-13 23:05:28.114704
64,2022-03-13 23:05:29.127964
75,2022-03-13 23:05:30.114900
57,2022-03-13 23:05:31.124778
66,2022-03-13 23:05:32.154880
60,2022-03-13 23:05:33.114462
47,2022-03-13 23:05:34.140081
60,2022-03-13 23:05:35.124156
56,2022-03-13 23:05:36.117802
60,2022-03-13 23:05:37.116773
61,2022-03-13 23:05:38.126513
51,2022-03-13 23:05:39.127953
50,2022-03-13 23:05:40.120040
43,2022-03-13 23:05:41.120831
43,2022-03-13 23:05:42.120196
38,2022-03-13 23:05:43.151759
43,2022-03-13 23:05:44.120195
44,2022-03-13 23:05:45.125594
44,2022-03-13 23:05:46.148631
60,2022-03-13 23:05:47.115027
69,2022-03-13 23:05:48.123853
78,2022-03-13 23:05:49.115552
80,2022-03-13 23:05:50.169876
74,2022-03-13 23:05:51.114530
61,2022-03-13 23:05:52.115060
61,2022-03-13 23:05:53.114756
54,2022-03-13 23:05:54.114445
53,2022-03-13 23:05:55.129742
43,2022-03-13 23:05:56.120808
47,2022-03-13 23:05:57.158452
54,2022-03-13 23:05:58.112455
63,2022-03-13 23:05:59.117775
67,2022-03-13 23:06:00.130664
57,2022-03-13 23:06:01.143094
56,2022-03-13 23:06:02.114414
56,2022-03-13 23:06:03.126746
51,2022-03-13 23:06:04.132845
47,2022-03-13 23:06:05.118962
38,2022-03-13 23:06:06.133489
26,2022-03-13 23:06:07.127101
29,2022-03-13 23:06:08.166228
37,2022-03-13 23:06:09.130623
34,2022-03-13 23:06:10.115515
44,2022-03-13 23:06:11.127059
27,2022-03-13 23:06:12.127638
27,2022-03-13 23:06:13.117464
26,2022-03-13 23:06:14.112382
7,2022-03-13 23:06:15.138655
24,2022-03-13 23:06:16.113941
26,2022-03-13 23:06:17.119815
40,2022-03-13 23:06:18.134710
75,2022-03-13 23:06:19.124430
74,2022-03-13 23:06:20.118506
77,2022-03-13 23:06:21.114240
64,2022-03-13 23:06:22.150167
51,2022-03-13 23:06:23.120020
57,2022-03-13 23:06:24.116368
51,2022-03-13 23:06:25.123078
60,2022-03-13 23:06:26.154828
51,2022-03-13 23:06:27.125132
44,2022-03-13 23:06:28.127427
44,2022-03-13 23:06:29.116492
43,2022-03-13 23:06:30.122850
37,2022-03-13 23:06:31.115038
41,2022-03-13 23:06:32.121184
47,2022-03-13 23:06:33.146493
60,2022-03-13 23:06:34.127075
63,2022-03-13 23:06:35.114641
57,2022-03-13 23:06:36.121894
60,2022-03-13 23:06:37.122298
50,2022-03-13 23:06:38.133736
54,2022-03-13 23:06:39.115041
67,2022-03-13 23:06:40.130179
67,2022-03-13 23:06:41.114510
78,2022-03-13 23:06:42.115105
80,2022-03-13 23:06:43.124474
81,2022-03-13 23:06:44.147048
83,2022-03-13 23:06:45.120294
83,2022-03-13 23:06:46.112418
88,2022-03-13 23:06:47.161268
83,2022-03-13 23:06:48.114758
100,2022-03-13 23:06:49.119060
87,2022-03-13 23:06:50.121189
87,2022-03-13 23:06:51.170785
87,2022-03-13 23:06:52.114284
75,2022-03-13 23:06:53.115403
70,2022-03-13 23:06:54.135408
64,2022-03-13 23:06:55.117826
64,2022-03-13 23:06:56.117129
66,2022-03-13 23:06:57.119502
83,2022-03-13 23:06:58.138479
77,2022-03-13 23:06:59.120059
66,2022-03-13 23:07:00.120906
57,2022-03-13 23:07:01.122422
53,2022-03-13 23:07:02.118991
51,2022-03-13 23:07:03.121061
51,2022-03-13 23:07:04.115733
48,2022-03-13 23:07:05.126431
40,2022-03-13 23:07:06.124042
40,2022-03-13 23:07:07.116327
61,2022-03-13 23:07:08.120744
66,2022-03-13 23:07:09.154145
60,2022-03-13 23:07:10.134524
67,2022-03-13 23:07:11.118668
50,2022-03-13 23:07:12.115436
40,2022-03-13 23:07:13.113865
43,2022-03-13 23:07:14.113014
41,2022-03-13 23:07:15.114368
38,2022-03-13 23:07:16.156501
47,2022-03-13 23:07:17.116457
50,2022-03-13 23:07:18.126227
30,2022-03-13 23:07:19.131347
