value,timestamp
THINK-YES,2022-03-13 23:04:45.147101
SAY-YES,2022-03-13 23:05:01.141855
SAY-STOP,2022-03-13 23:05:17.142848
SAY-STOP,2022-03-13 23:05:33.146669
THINK-STOP,2022-03-13 23:05:49.147589
SAY-STOP,2022-03-13 23:06:05.135580
THINK-YES,2022-03-13 23:06:21.146336
THINK-YES,2022-03-13 23:06:37.150535
THINK-STOP,2022-03-13 23:06:53.147306
SAY-YES,2022-03-13 23:07:09.141323
THINK-YES,2022-03-13 23:07:25.146565
THINK-STOP,2022-03-13 23:07:41.146835
SAY-YES,2022-03-13 23:07:57.144900
THINK-YES,2022-03-13 23:08:13.140182
THINK-YES,2022-03-13 23:08:29.147379
SAY-STOP,2022-03-13 23:08:45.140132
THINK-STOP,2022-03-13 23:09:01.150446
SAY-STOP,2022-03-13 23:09:17.139442
SAY-YES,2022-03-13 23:09:33.150021
SAY-YES,2022-03-13 23:09:49.150148
SAY-YES,2022-03-13 23:10:05.138531
SAY-STOP,2022-03-13 23:10:21.149748
SAY-YES,2022-03-13 23:10:37.135294
SAY-YES,2022-03-13 23:10:53.137447
SAY-STOP,2022-03-13 23:11:09.147463
THINK-STOP,2022-03-13 23:11:25.137228
THINK-STOP,2022-03-13 23:11:41.147741
THINK-STOP,2022-03-13 23:11:57.146819
SAY-YES,2022-03-13 23:12:13.136373
THINK-STOP,2022-03-13 23:12:29.147035
