delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
120901,178035,36526,15168,24867,9156,8624,9755,2022-03-13 23:04:38.124428
761630,229210,83167,72092,41555,114917,57903,39322,2022-03-13 23:04:39.129378
585747,721812,245923,56822,87797,80531,26188,27841,2022-03-13 23:04:40.119666
209705,151143,62536,4053,8863,13711,6815,10687,2022-03-13 23:04:41.129274
1671171,239493,115011,95408,96798,83115,30996,16435,2022-03-13 23:04:42.172177
1511691,66121,5183,32790,9669,18765,38745,10990,2022-03-13 23:04:43.114192
1185681,1162439,487327,158844,143152,91245,77428,67286,2022-03-13 23:04:44.131185
896576,312343,71115,30251,27147,11433,15053,21413,2022-03-13 23:04:45.114813
157831,30870,2159,3582,2489,2058,4337,4340,2022-03-13 23:04:46.134490
55882,8669,6984,5234,4421,1892,3099,3134,2022-03-13 23:04:47.127069
603874,38902,86179,41707,18027,28957,30206,24666,2022-03-13 23:04:48.127099
555600,117692,12554,3070,5587,5295,7816,7884,2022-03-13 23:04:49.146624
224613,76618,520,9031,1630,5422,3330,4346,2022-03-13 23:04:50.119757
95957,95822,11457,5579,2509,2218,6874,1749,2022-03-13 23:04:51.124620
870033,462564,181389,54207,101686,30809,10153,26625,2022-03-13 23:04:52.117433
1053352,401695,27294,107987,46898,31784,20138,24241,2022-03-13 23:04:53.131317
645598,75843,20863,16982,15131,11135,12230,7644,2022-03-13 23:04:54.123835
85077,59864,1020,6369,3810,4945,3832,4213,2022-03-13 23:04:55.126027
128378,97763,14819,5811,6023,21554,12668,10241,2022-03-13 23:04:56.140061
76590,21141,6894,12569,8380,14413,12042,13593,2022-03-13 23:04:57.129445
1750507,497082,7132,54033,14505,33360,10338,42201,2022-03-13 23:04:58.121585
114431,155470,51578,11038,8285,36089,23072,25652,2022-03-13 23:04:59.120270
31152,27449,12250,8544,11681,14962,6376,6286,2022-03-13 23:05:00.140037
73824,11534,8459,4683,12151,11013,3696,2963,2022-03-13 23:05:01.125482
490292,63301,25078,22097,15746,9533,10873,7855,2022-03-13 23:05:02.132797
343204,21023,14302,4059,7318,4217,1327,1867,2022-03-13 23:05:03.123721
598021,211748,23569,50485,23503,16522,12458,13266,2022-03-13 23:05:04.121250
227930,33298,7121,10124,7887,20758,19493,17194,2022-03-13 23:05:05.121157
339421,153638,24930,29988,38011,29328,13973,17205,2022-03-13 23:05:06.121478
66065,50545,20955,11565,11694,12064,9069,16755,2022-03-13 23:05:07.151163
58835,23447,6553,3308,3203,2812,4479,1649,2022-03-13 23:05:08.129324
88486,5547,3914,2660,1708,2277,3156,2577,2022-03-13 23:05:09.119248
101686,70329,17993,14487,20686,26006,17336,19204,2022-03-13 23:05:10.119760
89971,67622,24587,8645,15557,20407,19774,19708,2022-03-13 23:05:11.113832
67012,49545,31808,13209,7747,20055,11396,8640,2022-03-13 23:05:12.119622
71505,37181,6344,11519,19207,13253,9388,11714,2022-03-13 23:05:13.113880
14241,11744,27907,21661,10323,12887,6086,15704,2022-03-13 23:05:14.146324
628210,53350,33559,2897,6275,8801,9281,6178,2022-03-13 23:05:15.118520
23296,40255,11909,6877,7217,8384,5856,3662,2022-03-13 23:05:16.123868
40837,55939,6794,3588,6260,8937,4199,5737,2022-03-13 23:05:17.128226
623764,94385,21116,10094,10394,17363,12067,13886,2022-03-13 23:05:18.186492
17584,24414,15799,12069,14025,13211,7573,4405,2022-03-13 23:05:19.124355
194080,14718,11315,2114,2875,1946,1050,1074,2022-03-13 23:05:20.124738
26449,34945,26659,5401,3704,7601,2465,2837,2022-03-13 23:05:21.121099
700319,270835,16542,10993,12418,13097,11956,9592,2022-03-13 23:05:22.129343
6593,29577,18701,16652,9026,5511,3094,2139,2022-03-13 23:05:23.124970
717421,30618,4195,6850,7395,14552,6742,9153,2022-03-13 23:05:24.116400
38664,15097,4927,10629,6892,7841,1827,2510,2022-03-13 23:05:25.185758
58484,38650,7402,6660,13504,10815,3996,3723,2022-03-13 23:05:26.113253
10904,32742,7899,10116,2968,10518,4767,8030,2022-03-13 23:05:27.124898
81527,51340,10793,2713,5748,5104,3811,4709,2022-03-13 23:05:28.114704
41934,17381,10286,14941,9546,7670,7182,3155,2022-03-13 23:05:29.127964
16197,16391,2382,14287,6590,16551,3896,3936,2022-03-13 23:05:30.114900
12993,18521,48482,12627,4075,3445,4918,2534,2022-03-13 23:05:31.124778
32210,20774,6418,34340,4105,10573,4038,2139,2022-03-13 23:05:32.154880
13290,18979,8840,15124,4964,4084,6760,2003,2022-03-13 23:05:33.114462
764038,23665,3830,14805,2921,5257,3960,1874,2022-03-13 23:05:34.140081
266508,101607,14092,28962,23555,22684,20885,9094,2022-03-13 23:05:35.124156
112774,31255,9820,7749,2985,5773,2017,4140,2022-03-13 23:05:36.117802
15095,66930,39068,7827,6277,14742,22071,6762,2022-03-13 23:05:37.116773
73961,26739,662,2248,677,4843,3784,579,2022-03-13 23:05:38.126513
75651,22731,14578,3611,10971,2569,1569,1016,2022-03-13 23:05:39.127953
86492,8434,7992,2732,2048,1846,1333,1344,2022-03-13 23:05:40.120040
14457,37678,11796,12638,4848,5279,4326,3519,2022-03-13 23:05:41.120831
30020,38043,3886,8375,14716,7820,5341,3013,2022-03-13 23:05:42.120196
2238414,164842,18729,32155,13802,7351,9685,6505,2022-03-13 23:05:43.151759
239289,10702,36964,9190,19374,9919,15204,18579,2022-03-13 23:05:44.120195
12625,14929,1586,7609,1404,2123,1220,1441,2022-03-13 23:05:45.125594
