value,timestamp
SAY-STOP,2022-03-13 22:45:10.745007
THINK-YES,2022-03-13 22:45:26.751760
SAY-STOP,2022-03-13 22:45:42.745342
THINK-STOP,2022-03-13 22:45:58.774730
SAY-YES,2022-03-13 22:46:14.774804
SAY-YES,2022-03-13 22:46:30.769180
SAY-YES,2022-03-13 22:46:46.772217
SAY-STOP,2022-03-13 22:47:02.770806
SAY-STOP,2022-03-13 22:47:18.767403
THINK-YES,2022-03-13 22:47:34.761951
SAY-STOP,2022-03-13 22:47:50.760640
THINK-YES,2022-03-13 22:48:06.759685
THINK-STOP,2022-03-13 22:48:22.767101
SAY-YES,2022-03-13 22:48:38.772953
SAY-YES,2022-03-13 22:48:54.766642
THINK-YES,2022-03-13 22:49:10.773085
THINK-YES,2022-03-13 22:49:26.765647
SAY-STOP,2022-03-13 22:49:42.768996
SAY-STOP,2022-03-13 22:49:58.767707
THINK-YES,2022-03-13 22:50:14.770431
SAY-YES,2022-03-13 22:50:30.767401
THINK-YES,2022-03-13 22:50:46.766960
SAY-STOP,2022-03-13 22:51:02.775061
SAY-YES,2022-03-13 22:51:18.764975
THINK-STOP,2022-03-13 22:51:34.768028
SAY-YES,2022-03-13 22:51:50.766890
THINK-STOP,2022-03-13 22:52:06.775149
SAY-YES,2022-03-13 22:52:22.759715
THINK-STOP,2022-03-13 22:52:38.759771
THINK-STOP,2022-03-13 22:52:54.765313
SAY-STOP,2022-03-13 22:53:10.768877
THINK-STOP,2022-03-13 22:53:26.766304
SAY-STOP,2022-03-13 22:53:42.770085
SAY-YES,2022-03-13 22:53:58.769926
SAY-STOP,2022-03-13 22:54:14.766490
SAY-STOP,2022-03-13 22:54:30.767103
SAY-STOP,2022-03-13 22:54:46.764687
THINK-YES,2022-03-13 22:55:02.766185
SAY-YES,2022-03-13 22:55:18.775601
SAY-YES,2022-03-13 22:55:34.761675
SAY-YES,2022-03-13 22:55:50.766033
SAY-STOP,2022-03-13 22:56:06.771505
THINK-STOP,2022-03-13 22:56:22.774652
SAY-STOP,2022-03-13 22:56:38.761390
THINK-STOP,2022-03-13 22:56:54.775646
SAY-STOP,2022-03-13 22:57:10.767124
THINK-YES,2022-03-13 22:57:26.775347
THINK-YES,2022-03-13 22:57:42.767480
THINK-YES,2022-03-13 22:57:58.775452
SAY-YES,2022-03-13 22:58:14.774186
