delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
1407327,171170,44197,58312,13457,10204,22775,11236,2022-03-13 22:45:03.757775
194824,206799,66709,32462,34736,21992,15554,22532,2022-03-13 22:45:04.754869
365049,16218,800,3422,2686,1890,1876,1077,2022-03-13 22:45:05.751677
93726,37515,12052,3564,3067,5215,3034,2897,2022-03-13 22:45:06.782253
1426224,609364,43447,62864,48300,25914,20139,21923,2022-03-13 22:45:07.751802
1446684,61637,5920,26324,24296,22054,13367,14341,2022-03-13 22:45:08.779631
414160,87522,13800,7551,18191,7665,2772,5598,2022-03-13 22:45:09.761035
840403,143020,7921,14000,13617,7580,13219,6132,2022-03-13 22:45:10.761094
1013642,60297,10204,5695,4804,14781,5875,8700,2022-03-13 22:45:11.751597
7645,19109,6914,9561,25508,23561,27783,19288,2022-03-13 22:45:12.750451
168375,15344,2226,2451,3482,3595,5418,1764,2022-03-13 22:45:13.751031
193395,291706,138928,111975,112561,72020,47402,61914,2022-03-13 22:45:14.753569
1834699,309027,368919,176654,41327,49715,40315,27351,2022-03-13 22:45:15.799450
218534,18250,12267,6813,6253,5442,2936,1829,2022-03-13 22:45:16.758406
75587,31091,3429,5594,6317,5207,3256,4161,2022-03-13 22:45:17.751019
305451,16003,4472,15968,13217,38462,49290,17104,2022-03-13 22:45:18.746759
56653,27133,13023,14311,19993,36969,41751,9703,2022-03-13 22:45:19.793137
15578,162643,18413,6242,5600,43941,39636,14937,2022-03-13 22:45:20.752858
83549,118916,36469,21795,14469,28959,31100,12224,2022-03-13 22:45:21.769482
374779,270305,42993,47588,8710,21315,19812,10081,2022-03-13 22:45:22.780692
202160,79725,29621,34098,9469,42942,12507,6267,2022-03-13 22:45:23.756596
8042,9475,7052,36205,10308,16496,22790,6635,2022-03-13 22:45:24.745472
173779,9675,14230,8677,4935,7245,1323,1802,2022-03-13 22:45:25.758970
6114,6560,2580,53218,14168,16367,11470,8910,2022-03-13 22:45:26.783845
24980,35283,2635,9428,3312,14198,9952,4770,2022-03-13 22:45:27.747329
151370,9140,5985,5900,4442,5491,4841,4210,2022-03-13 22:45:28.757794
1108388,115725,19346,25357,22182,35514,26190,9876,2022-03-13 22:45:29.748311
1056137,100609,20808,18160,6343,6424,5703,2120,2022-03-13 22:45:30.758730
84879,9674,3067,3495,4299,6059,3348,4043,2022-03-13 22:45:31.746100
8702,5777,23295,14909,11388,14314,13185,17354,2022-03-13 22:45:32.753519
801483,48715,25852,7393,8764,3738,4068,818,2022-03-13 22:45:33.774450
75460,11429,3608,1856,1953,7744,2557,2193,2022-03-13 22:45:34.749805
21238,27187,1996,9650,23547,10592,9728,6289,2022-03-13 22:45:35.758581
25967,41188,9442,4547,14491,15865,9263,9114,2022-03-13 22:45:36.758711
202273,9649,4657,1228,2746,2193,712,480,2022-03-13 22:45:37.765609
77296,44565,3705,45719,12053,26424,15236,16203,2022-03-13 22:45:38.785710
432968,407329,39837,48233,16875,30488,13812,12193,2022-03-13 22:45:39.763122
262786,30502,2262,308,1611,2770,1146,546,2022-03-13 22:45:40.764513
55691,20588,6125,6228,3912,6279,2538,3116,2022-03-13 22:45:41.752114
3972,13399,3031,4905,5414,20497,15671,6617,2022-03-13 22:45:42.758695
248386,51325,10962,4335,3439,7586,8524,5297,2022-03-13 22:45:43.755092
2203056,260647,38982,20844,8732,95434,62106,24932,2022-03-13 22:45:44.782755
289468,56562,5719,5424,2146,6963,6117,2980,2022-03-13 22:45:45.758061
1156458,79032,9133,85510,22305,29022,19959,7390,2022-03-13 22:45:46.757757
318684,127680,38118,47975,56437,33413,21291,6538,2022-03-13 22:45:47.770893
97797,71053,36891,10269,19095,6020,9229,3089,2022-03-13 22:45:48.756770
372984,22072,38852,8002,32584,22725,20721,18471,2022-03-13 22:45:49.751162
688216,181939,12884,17679,29847,15670,12761,2995,2022-03-13 22:45:50.758708
36456,76900,15026,36960,23244,30934,18125,10323,2022-03-13 22:45:51.771986
1626023,384978,125903,63670,56695,18516,27108,6516,2022-03-13 22:45:52.750479
292251,53179,57610,21046,20479,22970,18301,5810,2022-03-13 22:45:53.772487
16768,14290,18861,25690,24475,17494,17588,7873,2022-03-13 22:45:54.766021
651024,459032,83411,17719,71959,23188,9593,5898,2022-03-13 22:45:55.753273
59331,35225,5048,40258,9522,15318,10581,7957,2022-03-13 22:45:56.749880
1903705,280619,44218,43444,37634,23203,12437,8495,2022-03-13 22:45:57.748567
62640,23552,6689,21208,21521,19089,30221,6849,2022-03-13 22:45:58.758324
16289,11397,7723,10643,24720,14738,29540,18740,2022-03-13 22:45:59.751877
44439,13804,45652,13930,31512,15425,23695,9356,2022-03-13 22:46:00.746181
1938589,356564,55467,90336,14614,14525,12274,10584,2022-03-13 22:46:01.746638
14876,12095,5657,13408,8098,13291,8401,9964,2022-03-13 22:46:02.790821
24665,22903,16467,24001,23957,7367,8071,7452,2022-03-13 22:46:03.753011
89077,23051,3571,1080,472,732,423,188,2022-03-13 22:46:04.753157
461453,32502,8906,6707,9163,8949,6179,1296,2022-03-13 22:46:05.752347
26442,42162,15051,5739,19007,10565,10374,15265,2022-03-13 22:46:06.751179
101491,10653,2430,2418,5925,5739,2056,1279,2022-03-13 22:46:07.759842
633034,155380,8699,17712,15168,29092,9697,6107,2022-03-13 22:46:08.749732
166511,47465,18662,6312,4507,4552,7979,4141,2022-03-13 22:46:09.769658
74077,15003,54052,6754,26336,21446,12303,12834,2022-03-13 22:46:10.782977
108716,5264,2689,7371,1731,2684,2013,1187,2022-03-13 22:46:11.747380
29779,15914,2362,11817,6461,14395,10915,9556,2022-03-13 22:46:12.754015
12445,21516,4056,10075,3609,3266,2009,905,2022-03-13 22:46:13.751254
781318,104438,14180,32559,7887,45330,32530,8954,2022-03-13 22:46:14.758850
286045,292387,667539,459531,279424,427141,99450,45196,2022-03-13 22:46:15.754252
1582847,118891,43908,5518,23841,13403,22656,33595,2022-03-13 22:46:16.766276
403793,1427432,412827,40143,82232,79267,53308,119388,2022-03-13 22:46:17.750559
120263,2196,1535,1027,526,860,1876,1167,2022-03-13 22:46:18.757994
275113,103581,32577,7011,11385,3148,7086,7414,2022-03-13 22:46:19.752527
180742,186369,16271,9161,57271,29359,23508,9911,2022-03-13 22:46:20.765484
93092,38884,3541,7714,3767,3890,7604,7854,2022-03-13 22:46:21.752962
715753,50682,8614,10930,13391,27579,16188,16790,2022-03-13 22:46:22.758573
270052,13612,9557,3561,6069,15676,2581,9357,2022-03-13 22:46:23.761752
21241,36005,1636,15981,12807,15584,12156,21943,2022-03-13 22:46:24.759506
153014,169231,110967,30599,18871,43460,43258,24871,2022-03-13 22:46:25.778256
620748,250304,58250,28278,21324,19356,43577,33364,2022-03-13 22:46:26.781689
