delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
129130,25898,12991,22057,25793,18341,45022,17858,2022-03-13 22:46:27.791337
504270,131575,29899,28094,21666,44828,73813,16809,2022-03-13 22:46:28.757602
1254713,127513,31666,34794,20497,45428,52497,22264,2022-03-13 22:46:29.759472
96315,12809,899,3105,4115,4046,7899,6117,2022-03-13 22:46:30.753162
504542,1027769,1809235,94235,113884,219610,75556,148599,2022-03-13 22:46:31.746308
1390535,501366,128985,32281,153587,68514,144839,22718,2022-03-13 22:46:32.746969
1082614,27997,12775,10211,23960,10491,27720,5884,2022-03-13 22:46:33.751929
1219314,13858,29037,29508,21301,13422,55736,14330,2022-03-13 22:46:34.772550
2070955,844835,267619,276034,57100,70793,227425,100172,2022-03-13 22:46:35.754126
1212332,525417,80231,40468,30454,25560,25636,31469,2022-03-13 22:46:36.752268
1023423,200186,83777,11612,58073,98568,102370,50008,2022-03-13 22:46:37.751648
934322,36010,4354,3232,3034,8902,6313,2386,2022-03-13 22:46:38.793979
119492,9470,1742,11071,1744,5394,11284,5245,2022-03-13 22:46:39.747532
317604,360190,45895,7814,22128,10677,10010,11757,2022-03-13 22:46:40.751545
1023497,212270,29982,26265,13127,16686,12918,5377,2022-03-13 22:46:41.753516
26219,10166,1748,5677,1264,3225,4084,859,2022-03-13 22:46:42.778153
18691,88090,1265,2784,2266,3157,5857,1794,2022-03-13 22:46:43.752018
216036,29318,4403,3850,9799,6167,15184,12698,2022-03-13 22:46:44.759289
393869,133720,15158,2099,5216,7084,12656,9062,2022-03-13 22:46:45.786271
103829,58816,4650,21470,5501,15886,4992,5535,2022-03-13 22:46:46.755586
2182155,1271115,304186,95695,118193,66989,153527,53144,2022-03-13 22:46:47.758756
1560239,441115,32774,49443,73807,139367,71160,48148,2022-03-13 22:46:48.754279
286861,45958,14168,5110,2130,2644,5548,3035,2022-03-13 22:46:49.750625
1506621,78121,19058,15607,5615,9481,7368,5311,2022-03-13 22:46:50.747004
507704,61549,18970,5063,7472,8053,11653,7944,2022-03-13 22:46:51.759337
1459208,282016,14653,61224,15604,40737,38347,58342,2022-03-13 22:46:52.776686
164571,31025,17129,34374,26831,61853,28989,30814,2022-03-13 22:46:53.749216
173789,78272,3219,11568,5040,7726,9180,2857,2022-03-13 22:46:54.754554
40837,26331,4211,4282,9603,6407,8226,5214,2022-03-13 22:46:55.753544
479089,222900,38276,22496,33198,50602,31354,31200,2022-03-13 22:46:56.753503
1290952,104396,6422,37983,28927,44921,30172,19798,2022-03-13 22:46:57.773883
1734503,220628,22262,37575,18067,50017,28636,34420,2022-03-13 22:46:58.769605
29120,9599,1921,37124,20988,33770,31260,7482,2022-03-13 22:46:59.748992
177057,61986,14912,19632,39362,23182,37668,26714,2022-03-13 22:47:00.752208
244799,51906,3200,2344,3220,6597,8216,3908,2022-03-13 22:47:01.760149
424320,45320,27905,8351,18747,44291,21969,18478,2022-03-13 22:47:02.754725
924144,396372,327148,83870,86242,267527,181013,112674,2022-03-13 22:47:03.775757
236217,4897,2415,2729,1722,3318,2764,1096,2022-03-13 22:47:04.747980
1325722,114309,9827,31449,10546,21782,14307,11308,2022-03-13 22:47:05.747470
784657,29554,8896,8378,11180,14437,11612,5436,2022-03-13 22:47:06.755590
358118,42061,53562,13812,11167,8675,7260,2860,2022-03-13 22:47:07.752734
1983280,132853,20889,48908,54214,33762,38611,33504,2022-03-13 22:47:08.744317
70298,43631,7120,9574,5788,13384,5428,6648,2022-03-13 22:47:09.760168
24874,14028,41174,16005,9606,20911,37537,20443,2022-03-13 22:47:10.789838
9661,12614,26533,9641,17871,21180,33271,9230,2022-03-13 22:47:11.755186
6750,15473,8200,51161,22770,8234,13856,1998,2022-03-13 22:47:12.754821
186184,7800,1099,5080,2861,5522,2771,2501,2022-03-13 22:47:13.753740
58767,43508,35505,18046,14682,10423,8900,4594,2022-03-13 22:47:14.770279
26391,22339,24049,25487,31810,21044,48377,12450,2022-03-13 22:47:15.752520
7210,27706,7995,25181,61579,25381,23089,5324,2022-03-13 22:47:16.747426
82942,40385,65039,25869,25863,33234,18583,8043,2022-03-13 22:47:17.785225
1371121,51714,41858,4314,25708,15052,12208,9039,2022-03-13 22:47:18.755144
1644116,1801414,497721,1348093,612579,965336,374624,171660,2022-03-13 22:47:19.749095
1122335,217615,100597,39148,77097,93424,107366,35524,2022-03-13 22:47:20.758642
830157,324223,16621,53258,24601,83031,137859,16184,2022-03-13 22:47:21.783453
310909,41296,5112,2609,8221,4199,11371,2386,2022-03-13 22:47:22.755723
6502,51312,43902,50934,9513,51859,22826,15821,2022-03-13 22:47:23.745434
1021283,30818,8988,19324,16540,24751,34876,11086,2022-03-13 22:47:24.753785
105768,38270,6375,7761,2735,5900,4221,2060,2022-03-13 22:47:25.753208
37307,49324,4588,7023,3218,6004,10024,3346,2022-03-13 22:47:26.757357
38942,22791,15053,38913,39823,36257,18777,8233,2022-03-13 22:47:27.752819
22245,2328,13367,10767,6592,29677,14093,7790,2022-03-13 22:47:28.785676
23513,13028,8178,24971,22156,21816,17610,6131,2022-03-13 22:47:29.775739
19688,7869,3680,7090,23893,26501,6008,11216,2022-03-13 22:47:30.770775
56650,49079,17705,12973,12922,21251,26337,13868,2022-03-13 22:47:31.761054
441049,70607,38638,6889,14517,16607,13562,32138,2022-03-13 22:47:32.749039
64088,6760,26238,25172,24366,14450,15770,6911,2022-03-13 22:47:33.752055
10303,13801,30170,82009,14682,28503,24889,4846,2022-03-13 22:47:34.745952
19677,1286,35141,58968,14688,9585,49714,4794,2022-03-13 22:47:35.768246
55063,48903,12093,30437,29250,14782,9019,9799,2022-03-13 22:47:36.748259
8251,16828,8042,11439,7480,16419,19253,9144,2022-03-13 22:47:37.754751
491278,191882,18089,17752,5991,27063,17762,10943,2022-03-13 22:47:38.753717
14570,14950,10149,11135,10041,8376,11477,8017,2022-03-13 22:47:39.751578
16203,28442,18560,4594,13883,24929,8458,4856,2022-03-13 22:47:40.761222
316682,32258,20401,22188,5118,7766,1011,1888,2022-03-13 22:47:41.757724
14328,52697,6087,22458,19011,36239,30826,9994,2022-03-13 22:47:42.759709
50497,17626,1771,5497,3945,7666,4315,1531,2022-03-13 22:47:43.753502
22212,13236,46668,4283,7414,25993,4484,8376,2022-03-13 22:47:44.760194
1042032,119128,17512,31249,7156,31551,20711,8316,2022-03-13 22:47:45.749661
17066,14444,5588,17817,21695,29889,7196,7002,2022-03-13 22:47:46.810140
16447,8378,89376,37751,23776,23564,14037,9737,2022-03-13 22:47:47.749762
8956,5703,40508,28231,9047,22453,6917,6939,2022-03-13 22:47:48.759864
39112,48532,16286,11905,2692,3348,2874,3165,2022-03-13 22:47:49.746548
42076,14757,21855,94468,14918,24571,16552,10017,2022-03-13 22:47:50.744652
652424,1755603,1006225,308788,298705,446505,295092,110151,2022-03-13 22:47:51.754695
1146108,45572,20205,22048,12794,9650,11140,9617,2022-03-13 22:47:52.755112
2930780,169268,85319,84318,52968,72468,61681,43114,2022-03-13 22:47:53.786542
240219,366746,6166,51233,39335,33574,58676,45141,2022-03-13 22:47:54.750683
196563,133757,81247,18601,4415,12999,11337,7837,2022-03-13 22:47:55.752934
528375,95631,3020,24476,12533,13291,11707,6853,2022-03-13 22:47:56.760530
351491,31585,3661,35400,25712,31014,23333,16967,2022-03-13 22:47:57.749838
895383,221538,25847,13877,64323,111599,108786,49618,2022-03-13 22:47:58.751739
1450796,114004,73763,9124,14324,9201,25630,8035,2022-03-13 22:47:59.745653
1453223,113559,16780,6904,13422,10804,24061,4515,2022-03-13 22:48:00.772217
872019,184258,25354,59155,46930,58445,33176,13690,2022-03-13 22:48:01.751172
388189,40321,6049,16614,4178,32852,30306,22412,2022-03-13 22:48:02.781143
427095,112021,30918,12139,43927,32040,25025,26664,2022-03-13 22:48:03.746438
459042,216368,77460,10205,12439,13152,25746,6400,2022-03-13 22:48:04.788094
1034984,392885,108436,47132,37922,27792,39189,18067,2022-03-13 22:48:05.752007
1832003,96373,29787,39835,13864,22922,34638,19829,2022-03-13 22:48:06.759685
1141192,161699,66321,35422,32232,23597,28490,33641,2022-03-13 22:48:07.758844
9809,9849,21943,51776,8417,27320,21546,13716,2022-03-13 22:48:08.751912
233373,11163,353,3469,3290,5369,4651,1945,2022-03-13 22:48:09.750085
113436,11647,11507,5590,5651,9597,3882,4399,2022-03-13 22:48:10.753559
28926,4397,10760,12253,14283,29255,54990,13239,2022-03-13 22:48:11.788141
75402,25673,11933,105596,4772,38657,25566,12698,2022-03-13 22:48:12.749598
60252,48543,9569,19556,1740,4695,3184,2005,2022-03-13 22:48:13.761719
547040,417908,8438,50626,50177,44170,30961,14235,2022-03-13 22:48:14.754838
251904,22136,2679,2950,2316,931,1372,530,2022-03-13 22:48:15.755152
1836,17091,37258,18648,16076,31221,15005,8655,2022-03-13 22:48:16.759134
37622,25385,1987,5522,2643,6005,6025,1617,2022-03-13 22:48:17.749430
60419,54444,5149,14455,2281,6195,2789,2097,2022-03-13 22:48:18.801229
172790,231833,69295,25027,22240,10277,10343,3774,2022-03-13 22:48:19.759283
4367,8546,6221,20623,12651,15073,12853,15367,2022-03-13 22:48:20.746225
50995,6780,5090,5667,10418,8260,2735,1486,2022-03-13 22:48:21.748439
12649,10903,8366,5867,22280,20613,9589,12461,2022-03-13 22:48:22.750714
29343,10829,2794,19003,27353,8935,15539,21044,2022-03-13 22:48:23.745592
79161,19362,13134,6571,10953,4246,1585,2992,2022-03-13 22:48:24.753293
968073,136186,42724,21232,24009,15488,18934,5112,2022-03-13 22:48:25.773987
23532,27647,26316,59678,49525,26193,24857,4850,2022-03-13 22:48:26.761246
1330830,58534,42898,90548,108492,13411,15534,14469,2022-03-13 22:48:27.751136
210190,18275,8552,9749,9648,9798,6192,3067,2022-03-13 22:48:28.747063
1096636,76152,25985,114603,65411,21493,17770,18315,2022-03-13 22:48:29.788712
48247,31341,18868,7305,5737,10395,5466,3098,2022-03-13 22:48:30.753750
177495,83617,2036,9908,4199,6900,6648,4454,2022-03-13 22:48:31.745955
14447,42835,18538,13816,18354,18441,14727,17605,2022-03-13 22:48:32.749191
16823,11180,20301,11220,6101,15646,15352,4860,2022-03-13 22:48:33.772929
51994,4211,24344,10690,15824,21626,8277,4906,2022-03-13 22:48:34.769639
82263,7727,10664,12765,3319,5078,2414,1629,2022-03-13 22:48:35.755018
6423,5717,47559,14365,11689,14382,15215,4462,2022-03-13 22:48:36.769738
36754,27697,1984,11708,7960,1727,4832,1134,2022-03-13 22:48:37.747478
12284,27269,46402,50504,9682,41504,7021,5218,2022-03-13 22:48:38.756945
347466,236381,119439,13383,19391,24038,31643,13071,2022-03-13 22:48:39.749557
925336,231544,66854,6597,28380,56951,95240,29321,2022-03-13 22:48:40.748471
3150302,1403582,522902,111830,263575,169469,218938,135797,2022-03-13 22:48:41.758015
1704143,316226,36516,79865,128295,32287,67557,37232,2022-03-13 22:48:42.754156
170336,67664,35326,3011,4821,10075,2967,3043,2022-03-13 22:48:43.780828
379344,15673,7078,7135,7589,10958,5136,5176,2022-03-13 22:48:44.751579
1884337,114057,8502,10161,22498,6625,5606,5484,2022-03-13 22:48:45.751809
1102932,791844,26670,17965,26735,54897,34745,28902,2022-03-13 22:48:46.758334
251933,12933,4954,1925,2849,2755,3125,1116,2022-03-13 22:48:47.772976
389952,37490,32705,5134,34709,49776,53301,19020,2022-03-13 22:48:48.743364
319054,27967,4623,7759,2917,4628,10356,3383,2022-03-13 22:48:49.757663
2229,6822,22774,27605,11326,33576,15587,8922,2022-03-13 22:48:50.792618
786698,391501,15134,27839,18940,23583,53352,27071,2022-03-13 22:48:51.758002
73520,19919,7858,15142,16755,6417,21022,5869,2022-03-13 22:48:52.750129
405660,170963,26419,64874,34595,34398,21447,20792,2022-03-13 22:48:53.752231
33684,6570,6890,39608,26031,29510,59294,18552,2022-03-13 22:48:54.783334
1661373,736214,183853,144560,23384,93010,37532,17701,2022-03-13 22:48:55.747851
1101117,128317,34279,68500,54652,33577,39605,7544,2022-03-13 22:48:56.753720
160997,23684,7894,11216,1648,3592,2881,2475,2022-03-13 22:48:57.753944
1684765,112811,74690,8166,10553,27779,19478,17393,2022-03-13 22:48:58.752880
119295,13762,12645,2547,1398,1574,1292,588,2022-03-13 22:48:59.752033
464874,461105,172395,20224,29554,40187,50773,30819,2022-03-13 22:49:00.744569
1115613,131795,60144,112605,94303,59656,61684,64795,2022-03-13 22:49:01.778393
64823,22323,17659,6942,3509,2422,2308,2309,2022-03-13 22:49:02.744872
118514,114104,24811,16534,17939,12557,9590,6505,2022-03-13 22:49:03.752805
757344,79477,22231,14245,5278,9181,11459,2414,2022-03-13 22:49:04.745845
262474,87990,24152,25525,22093,37528,33027,18237,2022-03-13 22:49:05.749467
957738,100470,19905,8843,21364,9517,13465,14056,2022-03-13 22:49:06.777430
1769161,148357,19100,25940,12123,73127,34523,13094,2022-03-13 22:49:07.747987
1491193,159653,19201,40144,6678,29340,44695,9417,2022-03-13 22:49:08.765679
421179,75458,5734,53975,17409,48240,14443,20138,2022-03-13 22:49:09.755067
17521,10486,31558,6664,20246,28382,35047,11787,2022-03-13 22:49:10.757011
1394662,295310,35587,30714,24648,28673,22814,18244,2022-03-13 22:49:11.751730
98820,21320,2299,6095,6387,2854,10555,2181,2022-03-13 22:49:12.802094
478780,9910,16741,52316,10480,16020,25882,7534,2022-03-13 22:49:13.758007
587459,155110,69418,8052,34493,51017,35594,24298,2022-03-13 22:49:14.751987
730738,47039,13839,22294,4514,6312,6872,1824,2022-03-13 22:49:15.764592
104756,3207,19271,3462,3188,2628,6899,2110,2022-03-13 22:49:16.748767
334129,59755,1699,1831,6573,9769,5955,3331,2022-03-13 22:49:17.753227
62959,23285,5001,24432,3966,10367,10844,4473,2022-03-13 22:49:18.758501
462097,58158,43885,45581,9533,16113,26009,9387,2022-03-13 22:49:19.777244
88092,24523,8869,2739,8139,13027,12946,5844,2022-03-13 22:49:20.750753
1445395,308550,190514,81428,6027,31745,52172,29276,2022-03-13 22:49:21.758961
10241,7217,5035,9342,32440,32121,13320,3282,2022-03-13 22:49:22.770447
461110,221534,33362,51064,20143,33425,43800,14526,2022-03-13 22:49:23.753188
443897,64228,5028,28704,14104,31614,29916,20997,2022-03-13 22:49:24.758794
48590,26248,2472,602,6946,4469,2560,2277,2022-03-13 22:49:25.755289
30169,9591,5742,15251,9012,23170,14079,9430,2022-03-13 22:49:26.765647
322036,28131,11142,3250,5936,2114,4080,613,2022-03-13 22:49:27.751593
12276,33170,24789,11991,20447,17694,20041,20311,2022-03-13 22:49:28.744126
80417,24104,7093,33254,17380,23903,7796,29288,2022-03-13 22:49:29.743977
19330,16795,16321,12410,6732,21059,15568,9400,2022-03-13 22:49:30.764534
18357,67595,3038,16841,22928,19803,9233,5997,2022-03-13 22:49:31.751658
2940,18123,43905,25874,18920,18366,16008,11002,2022-03-13 22:49:32.751958
164764,36962,16629,4886,5190,4602,2994,1058,2022-03-13 22:49:33.755412
701199,68067,22722,5509,22536,5992,4528,5840,2022-03-13 22:49:34.748275
333621,71879,4286,3399,7113,16096,4104,5644,2022-03-13 22:49:35.746747
1292830,286050,17518,26313,8898,18957,13050,32035,2022-03-13 22:49:36.753188
122761,139749,27087,8437,19287,25727,23036,8532,2022-03-13 22:49:37.803337
2031477,321924,631837,672788,355015,157850,93894,30163,2022-03-13 22:49:38.778818
750925,77514,14300,3690,9169,25249,13080,10010,2022-03-13 22:49:39.749642
444503,647846,112139,28461,48847,54411,90542,51362,2022-03-13 22:49:40.754585
43812,27819,7713,26668,20228,24369,37917,14200,2022-03-13 22:49:41.750317
24160,37395,5011,26342,22554,29757,23274,9490,2022-03-13 22:49:42.753973
166486,141266,149210,63790,22668,40331,22271,14790,2022-03-13 22:49:43.750556
2415347,512234,277884,45309,107068,87968,24605,60498,2022-03-13 22:49:44.772847
684327,60296,13115,11583,3174,4284,6786,5444,2022-03-13 22:49:45.751525
184875,12564,814,1997,1668,1933,2503,2409,2022-03-13 22:49:46.755963
1594952,430613,83222,21204,22524,17334,14091,13799,2022-03-13 22:49:47.752775
601282,203876,50855,27088,11142,5637,13485,18371,2022-03-13 22:49:48.746172
749821,208978,76762,28390,19666,54787,45733,47165,2022-03-13 22:49:49.742138
578089,336079,28838,34385,28107,20077,12544,15280,2022-03-13 22:49:50.755985
1148292,207833,107255,16955,9881,12006,17108,20511,2022-03-13 22:49:51.764406
2366232,322073,30973,17412,7573,12810,37258,19913,2022-03-13 22:49:52.751122
1430663,117109,27665,25888,18572,43794,49145,19356,2022-03-13 22:49:53.743955
1046156,551459,24207,59356,89912,74286,70820,32776,2022-03-13 22:49:54.772449
636722,92385,82991,6449,9126,14307,19861,8282,2022-03-13 22:49:55.795662
1052263,668352,42760,76715,63514,33027,198993,61209,2022-03-13 22:49:56.748789
1453910,15953,16773,4964,7496,13759,13125,14034,2022-03-13 22:49:57.747578
1569514,369312,311275,130133,49753,258703,116810,27332,2022-03-13 22:49:58.751807
1732952,698909,348224,437238,65659,198758,556778,29145,2022-03-13 22:49:59.751861
424978,145401,10017,16839,11731,12960,23833,14254,2022-03-13 22:50:00.750743
56822,195897,21487,9650,16750,28054,23079,10339,2022-03-13 22:50:01.749447
1524445,1172612,258878,56919,99645,291869,93610,62008,2022-03-13 22:50:02.768664
1473456,248468,25444,29325,11627,15137,16129,6907,2022-03-13 22:50:03.743759
82072,7941,7604,2843,2564,2838,6459,1941,2022-03-13 22:50:04.753908
1735114,237308,31253,24143,46923,27673,110628,18129,2022-03-13 22:50:05.758298
901555,43323,5093,1818,8389,2889,2472,925,2022-03-13 22:50:06.754633
503827,47951,12272,19037,17742,23811,19204,18143,2022-03-13 22:50:07.752023
464109,63499,12057,14353,8909,22150,46212,7860,2022-03-13 22:50:08.742425
526575,289204,255479,129468,24400,24936,44047,23039,2022-03-13 22:50:09.769641
258305,2303,1479,2833,2182,2381,3937,1897,2022-03-13 22:50:10.761677
140373,4540,1794,1983,5011,2283,3958,3752,2022-03-13 22:50:11.754232
86215,15795,7112,12979,9614,4262,2723,3288,2022-03-13 22:50:12.743816
65996,8609,3362,1549,6407,4171,5790,5346,2022-03-13 22:50:13.776397
108240,28540,7844,29849,16738,12796,32949,4988,2022-03-13 22:50:14.753948
44353,41167,14214,21617,14508,8894,8802,10059,2022-03-13 22:50:15.756860
13826,62827,10241,9679,3659,4258,8847,4208,2022-03-13 22:50:16.752138
88482,174039,151193,25800,22180,11577,6375,7048,2022-03-13 22:50:17.752901
182282,45099,26991,26721,11238,15300,5491,2741,2022-03-13 22:50:18.753425
25324,16958,8081,37912,12582,5890,8388,4906,2022-03-13 22:50:19.752910
151262,22693,21400,11890,6026,4406,1101,2906,2022-03-13 22:50:20.783233
303417,446483,72440,42850,51134,40423,19296,11155,2022-03-13 22:50:21.750012
10931,9398,6524,30110,7382,9951,15895,10409,2022-03-13 22:50:22.747885
2721,21544,59248,23871,7903,15456,6568,8328,2022-03-13 22:50:23.749717
8172,7246,22808,41139,5324,13806,12766,6502,2022-03-13 22:50:24.751122
201844,15003,3204,7015,4515,1902,4415,3917,2022-03-13 22:50:25.747078
179931,669371,221363,135818,74592,44955,50093,33242,2022-03-13 22:50:26.771904
816425,202411,87098,55914,19562,33966,42158,37789,2022-03-13 22:50:27.783598
1412007,1191195,37292,205475,58501,137656,121374,71619,2022-03-13 22:50:28.755281
41338,27248,9699,9764,15801,8445,7922,1826,2022-03-13 22:50:29.753713
6200,12271,17448,32798,9066,11732,4001,3834,2022-03-13 22:50:30.751137
110712,28592,8588,4259,2803,953,791,1447,2022-03-13 22:50:31.784111
123612,44268,8088,14219,14726,9765,6851,4149,2022-03-13 22:50:32.755273
920652,143924,39858,27084,13508,27649,18718,12069,2022-03-13 22:50:33.743171
1388729,138796,218061,78590,14891,49536,24158,40002,2022-03-13 22:50:34.751687
800798,309404,124683,272138,43268,15363,21476,29274,2022-03-13 22:50:35.756924
1006889,107383,14745,8058,11428,19526,9217,11501,2022-03-13 22:50:36.758184
87458,27130,32271,22768,18145,25863,26004,26670,2022-03-13 22:50:37.746177
467122,41804,9061,38183,35444,29410,17491,6751,2022-03-13 22:50:38.789449
562916,65617,12949,29199,25414,30448,25246,12372,2022-03-13 22:50:39.756223
392978,101490,12820,4060,20229,20404,20187,24711,2022-03-13 22:50:40.757394
297289,9822,9585,2849,4324,5759,2916,2723,2022-03-13 22:50:41.764389
8401,21518,3896,24950,12939,15872,23574,6445,2022-03-13 22:50:42.765745
807227,197738,17882,33155,11761,16237,21745,5096,2022-03-13 22:50:43.753423
37829,31292,13440,13458,21958,19341,15762,3720,2022-03-13 22:50:44.747209
11642,23815,8738,20882,19233,11526,11609,18077,2022-03-13 22:50:45.783684
4140,7348,5556,31308,5719,25939,15689,8911,2022-03-13 22:50:46.754937
187526,2839,613,1736,1179,1437,1499,711,2022-03-13 22:50:47.752116
942054,68756,17971,44248,26880,22641,9037,6511,2022-03-13 22:50:48.745178
