delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
376749,154117,28193,12243,3902,9335,6694,10205,2022-03-14 00:16:35.373678
167329,49351,2435,7921,6256,4574,10960,5343,2022-03-14 00:16:36.389136
950461,131486,9689,8568,7489,17319,14724,5115,2022-03-14 00:16:37.380588
3292186,821827,202364,40751,44086,26937,15987,22887,2022-03-14 00:16:38.409358
362044,11848,4422,5175,2672,10387,3192,4757,2022-03-14 00:16:39.374854
97056,31580,2651,5724,5313,23272,30825,17631,2022-03-14 00:16:40.376119
373247,77035,40491,7373,6938,6433,19556,5610,2022-03-14 00:16:41.380575
97107,43529,6688,8083,5797,30489,30878,19891,2022-03-14 00:16:42.375935
156950,14771,12006,3551,11920,13592,9001,4694,2022-03-14 00:16:43.368799
47215,31256,6875,11790,6233,9958,4785,7870,2022-03-14 00:16:44.386902
101054,106272,42080,4630,16868,17687,13251,7088,2022-03-14 00:16:45.398549
2006578,113232,50220,13664,30503,25832,16086,12601,2022-03-14 00:16:46.366526
861680,37565,17042,15938,3362,2248,7502,6665,2022-03-14 00:16:47.373720
15168,42375,25909,26367,10357,21427,25234,22918,2022-03-14 00:16:48.373792
289312,333361,167752,15367,16943,25821,12823,12276,2022-03-14 00:16:49.380377
119903,18421,4232,3019,2339,2171,1719,2080,2022-03-14 00:16:50.374426
711975,19233,5984,4937,1338,2199,1684,1480,2022-03-14 00:16:51.375518
1708446,621954,512505,152669,362439,52781,34000,50747,2022-03-14 00:16:52.376720
137324,32506,4213,7846,4898,7167,6646,3070,2022-03-14 00:16:53.374064
192423,168849,6244,9607,6939,6753,8711,7610,2022-03-14 00:16:54.366843
502282,31755,16066,11273,6845,3636,7926,7536,2022-03-14 00:16:55.370992
448681,48837,12636,18151,7150,9116,9139,5789,2022-03-14 00:16:56.395931
366433,178894,49922,16713,23218,51515,14388,19430,2022-03-14 00:16:57.374774
1698224,670202,34779,25285,13489,29185,70483,24530,2022-03-14 00:16:58.370086
1257727,51758,28260,23296,13812,16859,8314,3505,2022-03-14 00:16:59.381955
953387,400744,200196,282105,385308,132782,23153,28473,2022-03-14 00:17:00.382542
410386,192529,32980,27390,27863,17626,12791,10710,2022-03-14 00:17:01.374517
1095380,21619,6931,18143,5268,2154,1954,1491,2022-03-14 00:17:02.364806
204949,21494,836,2036,1427,2189,2637,1347,2022-03-14 00:17:03.399901
166933,11882,40211,14006,17853,16397,15678,4998,2022-03-14 00:17:04.377198
143332,36172,1602,19172,12821,11610,17313,11028,2022-03-14 00:17:05.369134
56180,119994,6278,13499,19687,18109,14416,11718,2022-03-14 00:17:06.376015
1047451,72291,57939,8935,31620,25161,23499,16489,2022-03-14 00:17:07.373680
206926,63899,34612,10930,8749,4829,2060,5470,2022-03-14 00:17:08.392993
126669,13578,4614,1286,1540,1542,1149,1625,2022-03-14 00:17:09.369909
114570,43507,1268,4357,8163,10093,4469,6345,2022-03-14 00:17:10.396492
72711,34699,2432,3750,3142,3196,2753,1868,2022-03-14 00:17:11.374069
151060,49181,23413,11454,3415,6790,9840,6689,2022-03-14 00:17:12.364905
2046427,267582,53076,111772,74999,96842,28857,29222,2022-03-14 00:17:13.367733
1865563,168625,12414,41864,19645,21081,27701,39218,2022-03-14 00:17:14.368117
1466362,381019,67818,59597,22254,46790,64524,38106,2022-03-14 00:17:15.369787
638750,114288,21837,55640,61522,46292,40722,33303,2022-03-14 00:17:16.385625
1840097,419619,36756,39716,22302,20940,10364,6525,2022-03-14 00:17:17.395742
656362,29298,1533,1818,1833,1422,621,364,2022-03-14 00:17:18.375797
235476,35282,64735,43300,4074,20407,12513,13454,2022-03-14 00:17:19.366146
146497,25219,10477,25923,28396,36867,28804,16279,2022-03-14 00:17:20.364687
517384,75338,3424,7904,8122,2984,2257,6771,2022-03-14 00:17:21.418378
624534,85844,56282,50487,30213,34301,19802,28462,2022-03-14 00:17:22.374883
1839074,39955,9137,14114,6612,11955,10280,2905,2022-03-14 00:17:23.370524
