value,timestamp
THINK-YES,2022-03-14 00:15:24.371671
THINK-STOP,2022-03-14 00:15:40.373475
SAY-YES,2022-03-14 00:15:56.369528
SAY-STOP,2022-03-14 00:16:12.389288
SAY-STOP,2022-03-14 00:16:28.399639
THINK-STOP,2022-03-14 00:16:44.386902
THINK-YES,2022-03-14 00:17:00.398910
THINK-YES,2022-03-14 00:17:16.385625
THINK-STOP,2022-03-14 00:17:32.399293
THINK-STOP,2022-03-14 00:17:48.389042
SAY-STOP,2022-03-14 00:18:04.391921
SAY-STOP,2022-03-14 00:18:20.395745
SAY-STOP,2022-03-14 00:18:36.390613
THINK-STOP,2022-03-14 00:18:52.390500
SAY-YES,2022-03-14 00:19:08.386910
THINK-STOP,2022-03-14 00:19:24.394668
SAY-YES,2022-03-14 00:19:40.392805
THINK-YES,2022-03-14 00:19:56.393960
SAY-STOP,2022-03-14 00:20:12.497767
SAY-YES,2022-03-14 00:20:28.523618
THINK-YES,2022-03-14 00:20:44.524715
SAY-YES,2022-03-14 00:21:00.519381
SAY-YES,2022-03-14 00:21:16.514514
SAY-YES,2022-03-14 00:21:32.509840
THINK-STOP,2022-03-14 00:21:48.518658
THINK-STOP,2022-03-14 00:22:04.519397
THINK-YES,2022-03-14 00:22:20.525496
SAY-STOP,2022-03-14 00:22:36.513041
SAY-YES,2022-03-14 00:22:52.514092
SAY-YES,2022-03-14 00:23:08.515186
