value,timestamp
0,2022-03-14 00:15:17.381586
0,2022-03-14 00:15:18.382804
51,2022-03-14 00:15:19.406433
56,2022-03-14 00:15:20.367549
77,2022-03-14 00:15:21.377779
84,2022-03-14 00:15:22.365597
94,2022-03-14 00:15:23.376270
100,2022-03-14 00:15:24.385687
100,2022-03-14 00:15:25.376462
100,2022-03-14 00:15:26.389323
100,2022-03-14 00:15:27.368013
100,2022-03-14 00:15:28.375803
100,2022-03-14 00:15:29.366056
94,2022-03-14 00:15:30.394629
96,2022-03-14 00:15:31.367624
87,2022-03-14 00:15:32.398331
77,2022-03-14 00:15:33.399814
77,2022-03-14 00:15:34.367830
80,2022-03-14 00:15:35.376461
67,2022-03-14 00:15:36.366996
57,2022-03-14 00:15:37.402227
56,2022-03-14 00:15:38.380565
51,2022-03-14 00:15:39.376013
44,2022-03-14 00:15:40.386219
29,2022-03-14 00:15:41.370059
35,2022-03-14 00:15:42.370047
53,2022-03-14 00:15:43.377853
81,2022-03-14 00:15:44.393384
93,2022-03-14 00:15:45.379436
83,2022-03-14 00:15:46.378122
54,2022-03-14 00:15:47.366492
34,2022-03-14 00:15:48.372186
41,2022-03-14 00:15:49.372564
40,2022-03-14 00:15:50.366141
48,2022-03-14 00:15:51.382213
60,2022-03-14 00:15:52.378861
54,2022-03-14 00:15:53.378090
54,2022-03-14 00:15:54.381030
63,2022-03-14 00:15:55.405905
70,2022-03-14 00:15:56.385497
60,2022-03-14 00:15:57.376126
60,2022-03-14 00:15:58.373202
61,2022-03-14 00:15:59.380201
43,2022-03-14 00:16:00.373115
26,2022-03-14 00:16:01.381079
37,2022-03-14 00:16:02.401967
26,2022-03-14 00:16:03.366622
34,2022-03-14 00:16:04.383973
53,2022-03-14 00:16:05.386267
54,2022-03-14 00:16:06.380177
67,2022-03-14 00:16:07.371530
77,2022-03-14 00:16:08.365739
61,2022-03-14 00:16:09.372053
60,2022-03-14 00:16:10.381313
74,2022-03-14 00:16:11.375819
69,2022-03-14 00:16:12.373319
78,2022-03-14 00:16:13.397336
80,2022-03-14 00:16:14.367834
54,2022-03-14 00:16:15.378683
48,2022-03-14 00:16:16.379551
44,2022-03-14 00:16:17.367815
56,2022-03-14 00:16:18.370425
61,2022-03-14 00:16:19.381011
61,2022-03-14 00:16:20.388451
57,2022-03-14 00:16:21.368243
47,2022-03-14 00:16:22.373469
48,2022-03-14 00:16:23.370648
48,2022-03-14 00:16:24.365642
47,2022-03-14 00:16:25.365899
35,2022-03-14 00:16:26.365027
41,2022-03-14 00:16:27.391862
38,2022-03-14 00:16:28.383520
38,2022-03-14 00:16:29.379273
44,2022-03-14 00:16:30.378185
40,2022-03-14 00:16:31.369734
37,2022-03-14 00:16:32.366046
37,2022-03-14 00:16:33.377204
34,2022-03-14 00:16:34.376087
40,2022-03-14 00:16:35.373678
40,2022-03-14 00:16:36.389136
44,2022-03-14 00:16:37.380588
29,2022-03-14 00:16:38.409358
53,2022-03-14 00:16:39.374854
75,2022-03-14 00:16:40.376119
66,2022-03-14 00:16:41.380575
97,2022-03-14 00:16:42.375935
96,2022-03-14 00:16:43.368799
84,2022-03-14 00:16:44.386902
94,2022-03-14 00:16:45.398549
81,2022-03-14 00:16:46.366526
53,2022-03-14 00:16:47.373720
54,2022-03-14 00:16:48.373792
47,2022-03-14 00:16:49.380377
41,2022-03-14 00:16:50.374426
50,2022-03-14 00:16:51.375518
30,2022-03-14 00:16:52.376720
47,2022-03-14 00:16:53.374064
37,2022-03-14 00:16:54.366843
35,2022-03-14 00:16:55.370992
47,2022-03-14 00:16:56.395931
47,2022-03-14 00:16:57.374774
48,2022-03-14 00:16:58.370086
57,2022-03-14 00:16:59.381955
61,2022-03-14 00:17:00.382542
51,2022-03-14 00:17:01.374517
53,2022-03-14 00:17:02.364806
47,2022-03-14 00:17:03.399901
51,2022-03-14 00:17:04.377198
63,2022-03-14 00:17:05.369134
74,2022-03-14 00:17:06.376015
80,2022-03-14 00:17:07.374355
61,2022-03-14 00:17:08.392993
51,2022-03-14 00:17:09.369909
54,2022-03-14 00:17:10.396492
47,2022-03-14 00:17:11.374069
53,2022-03-14 00:17:12.364905
63,2022-03-14 00:17:13.367733
54,2022-03-14 00:17:14.368117
57,2022-03-14 00:17:15.369787
69,2022-03-14 00:17:16.385625
53,2022-03-14 00:17:17.395742
53,2022-03-14 00:17:18.375797
56,2022-03-14 00:17:19.366146
77,2022-03-14 00:17:20.364687
56,2022-03-14 00:17:21.418378
70,2022-03-14 00:17:22.374883
74,2022-03-14 00:17:23.370524
70,2022-03-14 00:17:24.365106
84,2022-03-14 00:17:25.365622
66,2022-03-14 00:17:26.369046
66,2022-03-14 00:17:27.366700
66,2022-03-14 00:17:28.405445
69,2022-03-14 00:17:29.370831
41,2022-03-14 00:17:30.372610
44,2022-03-14 00:17:31.370642
41,2022-03-14 00:17:32.399293
41,2022-03-14 00:17:33.377775
29,2022-03-14 00:17:34.364946
29,2022-03-14 00:17:35.379136
17,2022-03-14 00:17:36.373101
41,2022-03-14 00:17:37.364658
29,2022-03-14 00:17:38.378472
44,2022-03-14 00:17:39.431291
50,2022-03-14 00:17:40.376034
40,2022-03-14 00:17:41.365906
54,2022-03-14 00:17:42.375445
64,2022-03-14 00:17:43.379343
64,2022-03-14 00:17:44.370209
57,2022-03-14 00:17:45.366104
57,2022-03-14 00:17:46.410298
63,2022-03-14 00:17:47.373578
63,2022-03-14 00:17:48.389042
74,2022-03-14 00:17:49.377875
69,2022-03-14 00:17:50.374468
63,2022-03-14 00:17:51.373454
70,2022-03-14 00:17:52.379547
66,2022-03-14 00:17:53.386183
63,2022-03-14 00:17:54.374542
56,2022-03-14 00:17:55.370020
43,2022-03-14 00:17:56.383371
54,2022-03-14 00:17:57.396304
54,2022-03-14 00:17:58.374218
50,2022-03-14 00:17:59.379083
57,2022-03-14 00:18:00.384237
47,2022-03-14 00:18:01.376025
50,2022-03-14 00:18:02.370116
50,2022-03-14 00:18:03.366187
60,2022-03-14 00:18:04.423222
83,2022-03-14 00:18:05.373895
91,2022-03-14 00:18:06.373404
97,2022-03-14 00:18:07.370591
83,2022-03-14 00:18:08.364404
66,2022-03-14 00:18:09.368745
54,2022-03-14 00:18:10.377951
56,2022-03-14 00:18:11.441508
61,2022-03-14 00:18:12.371518
61,2022-03-14 00:18:13.376697
56,2022-03-14 00:18:14.368684
41,2022-03-14 00:18:15.364625
27,2022-03-14 00:18:16.369569
23,2022-03-14 00:18:17.378176
41,2022-03-14 00:18:18.368554
48,2022-03-14 00:18:19.365685
54,2022-03-14 00:18:20.379781
48,2022-03-14 00:18:21.379649
47,2022-03-14 00:18:22.407946
48,2022-03-14 00:18:23.371070
37,2022-03-14 00:18:24.378874
48,2022-03-14 00:18:25.377113
40,2022-03-14 00:18:26.363412
43,2022-03-14 00:18:27.371608
54,2022-03-14 00:18:28.367101
54,2022-03-14 00:18:29.395050
40,2022-03-14 00:18:30.365215
20,2022-03-14 00:18:31.363947
14,2022-03-14 00:18:32.364944
7,2022-03-14 00:18:33.363650
34,2022-03-14 00:18:34.371015
53,2022-03-14 00:18:35.372261
53,2022-03-14 00:18:36.407486
51,2022-03-14 00:18:37.373042
51,2022-03-14 00:18:38.379029
51,2022-03-14 00:18:39.379963
34,2022-03-14 00:18:40.384287
30,2022-03-14 00:18:41.374859
34,2022-03-14 00:18:42.364751
47,2022-03-14 00:18:43.378234
47,2022-03-14 00:18:44.371491
35,2022-03-14 00:18:45.366213
41,2022-03-14 00:18:46.372761
16,2022-03-14 00:18:47.418166
17,2022-03-14 00:18:48.379475
11,2022-03-14 00:18:49.375829
10,2022-03-14 00:18:50.377684
37,2022-03-14 00:18:51.369611
51,2022-03-14 00:18:52.390500
60,2022-03-14 00:18:53.377516
66,2022-03-14 00:18:54.404229
63,2022-03-14 00:18:55.377409
53,2022-03-14 00:18:56.378325
43,2022-03-14 00:18:57.364849
24,2022-03-14 00:18:58.370798
26,2022-03-14 00:18:59.362943
34,2022-03-14 00:19:00.375245
51,2022-03-14 00:19:01.415650
60,2022-03-14 00:19:02.364955
48,2022-03-14 00:19:03.364898
29,2022-03-14 00:19:04.372176
21,2022-03-14 00:19:05.399503
26,2022-03-14 00:19:06.377106
34,2022-03-14 00:19:07.363140
43,2022-03-14 00:19:08.403030
51,2022-03-14 00:19:09.363693
57,2022-03-14 00:19:10.363788
57,2022-03-14 00:19:11.368067
48,2022-03-14 00:19:12.404609
53,2022-03-14 00:19:13.364836
54,2022-03-14 00:19:14.375157
43,2022-03-14 00:19:15.368126
60,2022-03-14 00:19:16.373034
70,2022-03-14 00:19:17.364287
69,2022-03-14 00:19:18.372340
69,2022-03-14 00:19:19.397297
54,2022-03-14 00:19:20.369156
34,2022-03-14 00:19:21.375045
37,2022-03-14 00:19:22.366312
37,2022-03-14 00:19:23.390343
47,2022-03-14 00:19:24.381377
54,2022-03-14 00:19:25.372455
50,2022-03-14 00:19:26.372716
48,2022-03-14 00:19:27.363373
54,2022-03-14 00:19:28.371554
56,2022-03-14 00:19:29.369778
56,2022-03-14 00:19:30.414475
64,2022-03-14 00:19:31.376060
61,2022-03-14 00:19:32.369868
63,2022-03-14 00:19:33.396702
63,2022-03-14 00:19:34.364486
57,2022-03-14 00:19:35.366844
50,2022-03-14 00:19:36.367051
35,2022-03-14 00:19:37.383161
