delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
744345,12690,8912,9868,5355,2548,960,542,2022-03-13 23:42:46.431168
687480,13041,225,910,2760,1666,915,386,2022-03-13 23:42:47.469956
937023,42737,10061,10325,6118,5197,4931,1227,2022-03-13 23:42:48.427500
222640,86142,32773,7636,5222,3595,2356,1772,2022-03-13 23:42:49.425826
924101,16634,8589,8373,4578,3358,907,459,2022-03-13 23:42:50.427316
2413658,117771,27161,35129,7058,16167,20745,22305,2022-03-13 23:42:51.420895
1196568,92559,64918,7310,6785,6080,7720,6285,2022-03-13 23:42:52.420941
681111,122780,43826,16813,17654,30922,9980,10821,2022-03-13 23:42:53.430297
586652,50502,6172,12349,8182,3689,2493,7914,2022-03-13 23:42:54.446236
922037,254758,111284,88356,19484,18317,22364,9748,2022-03-13 23:42:55.424334
1005622,219012,53776,8374,14728,12402,9764,9998,2022-03-13 23:42:56.426947
331329,239822,31431,29223,23094,21205,19788,14253,2022-03-13 23:42:57.420637
1371159,513645,140470,50451,60459,24910,47503,34321,2022-03-13 23:42:58.421382
544331,5055,893,6423,2504,4573,4863,1704,2022-03-13 23:42:59.427239
1012291,63707,10231,17171,13927,16829,2851,1451,2022-03-13 23:43:00.448173
31353,19799,6424,6222,3737,1035,769,681,2022-03-13 23:43:01.427441
2320507,53287,7203,15528,4897,4209,1591,1661,2022-03-13 23:43:02.422651
437062,175829,41410,30115,9412,13534,20708,6858,2022-03-13 23:43:03.421075
461952,179749,37217,37380,42923,20854,24954,7044,2022-03-13 23:43:04.446448
1114814,116442,68220,24179,33094,16262,39136,14641,2022-03-13 23:43:05.482368
1776943,1085905,410607,157974,84420,96451,54910,24194,2022-03-13 23:43:06.429548
245793,13995,34593,3879,2672,3947,3451,3317,2022-03-13 23:43:07.421561
1875114,1451203,21519,98479,57296,66439,56245,24740,2022-03-13 23:43:08.427407
146889,26527,7251,8877,5044,2086,2020,1094,2022-03-13 23:43:09.420651
402424,176190,25462,10651,15684,9359,14130,3142,2022-03-13 23:43:10.428142
243525,14782,5807,4029,3258,3446,5692,1907,2022-03-13 23:43:11.428717
2046318,192723,15985,1702,4454,8336,12880,4228,2022-03-13 23:43:12.457566
2835707,271678,143486,41226,41912,39592,64301,14383,2022-03-13 23:43:13.427631
343096,69831,14068,2379,3861,3238,4713,4989,2022-03-13 23:43:14.425058
206736,55538,49528,33707,18309,11823,12238,8414,2022-03-13 23:43:15.426377
345572,95346,23635,16926,19526,11401,11415,10965,2022-03-13 23:43:16.478264
1355052,150061,6733,722,11280,6555,16236,5054,2022-03-13 23:43:17.425847
1320901,30457,6553,5120,2800,2580,2277,943,2022-03-13 23:43:18.421090
414984,6277,3673,2770,2723,1802,1116,429,2022-03-13 23:43:19.436454
819954,263364,18860,29810,13138,19414,10756,7702,2022-03-13 23:43:20.424102
3169474,143937,35245,13880,26488,34696,32871,17711,2022-03-13 23:43:21.424206
959823,14678,6660,7255,3259,6560,6127,4607,2022-03-13 23:43:22.429658
275694,384519,25408,27888,29804,62372,35599,13864,2022-03-13 23:43:23.460458
475135,55073,16223,5129,5912,6890,25955,9258,2022-03-13 23:43:24.428138
751433,49004,55880,8023,10569,12611,15186,9639,2022-03-13 23:43:25.420795
1613075,137372,32958,39742,4167,10172,20138,11371,2022-03-13 23:43:26.428967
612674,110693,4433,6583,6680,6328,5850,5566,2022-03-13 23:43:27.426582
35543,2995,1362,846,739,762,730,451,2022-03-13 23:43:28.418967
33976,9365,4328,2387,1480,1012,788,541,2022-03-13 23:43:29.428562
797317,195112,32841,41264,9359,19386,12870,6891,2022-03-13 23:43:30.456026
991199,83782,18116,7970,4764,7146,9962,1781,2022-03-13 23:43:31.423027
524272,67204,36946,34692,17633,26596,11117,12636,2022-03-13 23:43:32.441718
277866,29398,4380,8656,4963,5215,3977,6236,2022-03-13 23:43:33.422008
841898,146322,14688,26250,18919,15072,23450,14634,2022-03-13 23:43:34.425846
997519,256738,38371,10312,14802,12042,23258,6178,2022-03-13 23:43:35.432870
660292,24864,2802,1481,8632,4917,853,954,2022-03-13 23:43:36.444876
565487,55743,7818,2171,7857,1899,2907,2337,2022-03-13 23:43:37.442566
1244575,111698,13787,28771,24169,7882,15359,12958,2022-03-13 23:43:38.431793
116502,30154,7346,5706,6193,6565,5562,1277,2022-03-13 23:43:39.435772
1194872,127441,54716,42012,16306,12354,52919,33451,2022-03-13 23:43:40.426468
3096095,132836,22945,14627,21438,9651,28268,5922,2022-03-13 23:43:41.417398
49438,6390,20026,3766,6301,4412,5113,1965,2022-03-13 23:43:42.432365
2626452,208864,52946,85488,28178,33921,30329,5077,2022-03-13 23:43:43.431951
838568,68284,27253,7316,5401,4646,3607,6628,2022-03-13 23:43:44.438712
2102864,228109,70405,36191,53839,138631,90008,28192,2022-03-13 23:43:45.428593
1944672,901146,137177,32244,104018,47938,50039,31598,2022-03-13 23:43:46.430451
785284,370040,128155,81330,58834,36469,15526,29507,2022-03-13 23:43:47.424057
1999580,23650,11915,8258,6491,4322,1014,428,2022-03-13 23:43:48.491554
1436030,1339069,264062,192751,156745,281533,68537,124719,2022-03-13 23:43:49.419041
1601939,258443,129263,77593,42298,71816,15035,29458,2022-03-13 23:43:50.428475
715454,248407,40305,17226,33531,8529,16050,15623,2022-03-13 23:43:51.425603
145790,57529,8453,2693,7094,4027,3602,1651,2022-03-13 23:43:52.428467
208335,101061,13462,25372,24879,35543,61544,50835,2022-03-13 23:43:53.428738
60450,1374,3671,967,778,391,1278,557,2022-03-13 23:43:54.428678
539630,410961,34584,35359,10494,10610,32241,12124,2022-03-13 23:43:55.481338
77383,66605,14538,8953,13848,3964,5140,3934,2022-03-13 23:43:56.422885
679541,260743,93264,22414,26943,13895,23499,15010,2022-03-13 23:43:57.420078
674760,49093,13560,20549,7787,6805,5164,5773,2022-03-13 23:43:58.418129
1956943,162428,53163,21499,53112,55752,36301,22313,2022-03-13 23:43:59.422857
358228,31222,11622,25145,8988,2738,4469,4093,2022-03-13 23:44:00.431183
1382727,549341,48608,60928,13588,14262,18010,17521,2022-03-13 23:44:01.423824
668720,85655,7339,11380,1681,2249,2901,1668,2022-03-13 23:44:02.435528
2770019,118041,24665,13341,7824,5607,5680,2243,2022-03-13 23:44:03.419273
912977,127067,295225,41468,22195,20779,15529,20097,2022-03-13 23:44:04.440077
1283926,304798,42192,155121,54579,39403,11809,14765,2022-03-13 23:44:05.428505
595824,589823,56773,46043,25564,14468,34478,26222,2022-03-13 23:44:06.442476
1109117,188057,8488,52094,14737,19757,12422,33344,2022-03-13 23:44:07.429778
212786,76186,37563,22160,7341,3512,6338,7706,2022-03-13 23:44:08.441297
92758,31003,1836,7540,6142,3569,4092,3642,2022-03-13 23:44:09.427720
520885,154770,65272,44567,16901,21943,17380,21633,2022-03-13 23:44:10.427714
1543407,1349590,174029,236297,90576,80545,111181,49486,2022-03-13 23:44:11.431058
1017552,738388,41565,63870,24895,39476,58629,70482,2022-03-13 23:44:12.423380
78928,20987,2397,1381,5509,2368,4080,4080,2022-03-13 23:44:13.461768
1098316,96124,19987,12268,6424,6591,4585,2215,2022-03-13 23:44:14.429539
1337488,380684,46836,198390,62220,33038,106968,44200,2022-03-13 23:44:15.431090
694273,329666,15041,43626,19632,21850,18736,27591,2022-03-13 23:44:16.420695
1642359,327017,69617,38356,28220,25313,17651,9398,2022-03-13 23:44:17.425925
569026,119518,34083,28237,16764,8659,15758,10553,2022-03-13 23:44:18.424198
1867610,1525970,27368,199415,38655,48850,102551,71810,2022-03-13 23:44:19.430938
152520,84688,1777,10233,9573,4224,6346,3554,2022-03-13 23:44:20.464712
776466,151543,132867,60174,9515,20006,18050,8851,2022-03-13 23:44:21.422235
75561,45464,842,3609,2821,4214,7432,2155,2022-03-13 23:44:22.431015
1742139,1014435,531669,146511,56014,82249,84435,47511,2022-03-13 23:44:23.419267
1269105,23412,9403,7170,3011,1394,726,716,2022-03-13 23:44:24.426412
435614,437577,112098,49679,45453,17145,16696,23163,2022-03-13 23:44:25.427959
715507,273273,41675,6017,14737,25377,55481,57710,2022-03-13 23:44:26.425256
