value,timestamp
THINK-YES,2022-03-13 23:42:53.430297
THINK-STOP,2022-03-13 23:43:09.420651
THINK-STOP,2022-03-13 23:43:25.420795
SAY-YES,2022-03-13 23:43:41.417398
SAY-YES,2022-03-13 23:43:57.420078
THINK-STOP,2022-03-13 23:44:13.428661
THINK-STOP,2022-03-13 23:44:29.428164
SAY-YES,2022-03-13 23:44:45.426810
SAY-STOP,2022-03-13 23:45:01.428328
THINK-YES,2022-03-13 23:45:17.429729
THINK-YES,2022-03-13 23:45:33.428353
THINK-STOP,2022-03-13 23:45:49.423789
SAY-YES,2022-03-13 23:46:05.431250
THINK-YES,2022-03-13 23:46:21.430657
THINK-YES,2022-03-13 23:46:37.419422
THINK-STOP,2022-03-13 23:46:53.420653
SAY-STOP,2022-03-13 23:47:09.431859
SAY-STOP,2022-03-13 23:47:25.428754
THINK-YES,2022-03-13 23:48:13.134723
SAY-YES,2022-03-13 23:48:29.135572
THINK-YES,2022-03-13 23:48:45.150023
SAY-STOP,2022-03-13 23:49:01.147832
THINK-STOP,2022-03-13 23:49:17.135671
THINK-STOP,2022-03-13 23:49:33.144821
SAY-STOP,2022-03-13 23:49:49.147258
THINK-STOP,2022-03-13 23:50:05.140466
THINK-YES,2022-03-13 23:50:21.138397
THINK-YES,2022-03-13 23:50:37.135093
THINK-STOP,2022-03-13 23:50:53.135782
SAY-YES,2022-03-13 23:51:09.138871
