delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma,timestamp
536255,23358,16562,16287,8349,6678,9967,6903,2022-03-14 00:40:38.456451
40999,36711,9519,8003,11923,9302,18623,17847,2022-03-14 00:40:39.454193
710131,29784,6120,8404,22266,24932,8151,17713,2022-03-14 00:40:40.452998
89641,59207,10962,9291,11013,7529,5743,6436,2022-03-14 00:40:41.455118
33985,38618,6621,4581,20042,14375,21403,13128,2022-03-14 00:40:42.454571
16004,8795,1273,5130,5208,5066,4934,5690,2022-03-14 00:40:43.506817
6244,2660,3737,7420,4766,4937,4692,3844,2022-03-14 00:40:44.455857
21545,6193,5860,5260,4086,8425,1834,2706,2022-03-14 00:40:45.454046
19439,5834,23833,4873,10771,11384,7489,8985,2022-03-14 00:40:46.444582
436162,43640,15461,6046,7550,13827,20002,13796,2022-03-14 00:40:47.448871
438361,58485,5284,17370,16530,10712,15168,19702,2022-03-14 00:40:48.443872
92804,14963,10120,10065,11617,16368,14467,9562,2022-03-14 00:40:49.454440
454891,82102,26966,16054,14639,13789,20410,9653,2022-03-14 00:40:50.474012
9475,5020,1388,1060,765,1012,1931,2241,2022-03-14 00:40:51.444355
21787,15639,23842,14065,4608,20126,7884,11675,2022-03-14 00:40:52.463498
19360,8181,5363,2397,7160,13816,13645,6687,2022-03-14 00:40:53.457437
65211,18020,4354,8944,5150,7347,13480,10358,2022-03-14 00:40:54.444571
6141,4774,18857,6125,6306,3852,11335,4532,2022-03-14 00:40:55.450870
101197,9190,2002,2562,2325,2239,4638,2714,2022-03-14 00:40:56.452792
65118,14790,3758,1294,9394,8042,14687,12225,2022-03-14 00:40:57.457331
139306,75648,19138,12448,2074,4158,6767,8551,2022-03-14 00:40:58.444518
37511,7813,4995,35722,18471,14195,12314,12072,2022-03-14 00:40:59.443790
594215,34691,3486,15328,3783,17259,16796,9389,2022-03-14 00:41:00.445351
24959,10472,12358,827,16688,4957,21776,9298,2022-03-14 00:41:01.486500
83894,134968,35326,32206,18394,8704,15045,10618,2022-03-14 00:41:02.456170
151444,298615,29355,12232,8672,16248,19277,17917,2022-03-14 00:41:03.446781
194184,53127,3806,19228,12370,10084,13097,15690,2022-03-14 00:41:04.445784
218511,13447,5553,27803,8597,8629,13504,20517,2022-03-14 00:41:05.449819
111976,148883,13311,33694,21053,61675,26752,17530,2022-03-14 00:41:06.444338
37000,35594,20278,17737,10267,15630,18831,13103,2022-03-14 00:41:07.450768
289998,295904,12840,15572,10315,18686,37821,32915,2022-03-14 00:41:08.489928
14561,18013,8055,17138,6639,9846,16079,16499,2022-03-14 00:41:09.449933
706401,119293,7275,5273,6579,7036,4723,5783,2022-03-14 00:41:10.453145
24157,12334,14525,4131,6514,8070,7759,9337,2022-03-14 00:41:11.446942
944786,70655,31863,5648,4228,9138,20828,12995,2022-03-14 00:41:12.454573
17228,6074,2502,3487,4190,7528,9718,5500,2022-03-14 00:41:13.445654
972,9309,8712,1660,15919,3407,3069,2570,2022-03-14 00:41:14.454843
21887,11989,2046,6368,1578,2536,1348,3743,2022-03-14 00:41:15.465250
345071,24617,10688,6590,3688,5363,3715,7839,2022-03-14 00:41:16.448858
15363,4166,9672,11144,4132,2507,2227,870,2022-03-14 00:41:17.449437
40032,17990,11611,6187,15061,14029,8597,10066,2022-03-14 00:41:18.455721
47540,17695,13652,10712,11369,4545,5584,4963,2022-03-14 00:41:19.468744
15041,1732,10737,6426,7649,7275,3820,5033,2022-03-14 00:41:20.452551
434120,17083,11986,9518,12070,8855,6671,5426,2022-03-14 00:41:21.450443
4174,7838,6278,4383,5487,10170,6075,5184,2022-03-14 00:41:22.447610
13719,7107,521,9938,13613,2223,2979,2723,2022-03-14 00:41:23.456591
8764,6239,9118,26593,11134,6983,4562,2943,2022-03-14 00:41:24.462226
98801,35916,888,916,5063,2343,1565,3589,2022-03-14 00:41:25.444921
689312,59736,57813,22826,13743,17364,12194,18409,2022-03-14 00:41:26.505670
12419,25246,6306,3605,6219,13938,12527,9015,2022-03-14 00:41:27.450182
8741,9411,6208,871,7989,6036,4884,2641,2022-03-14 00:41:28.452592
12250,18657,1940,7222,3259,3192,1939,945,2022-03-14 00:41:29.452863
13070,7112,1085,3022,9824,11006,4825,7070,2022-03-14 00:41:30.455931
7171,8813,9634,3173,7159,3438,2680,944,2022-03-14 00:41:31.454647
3504,6790,3772,5252,5928,7142,4266,7243,2022-03-14 00:41:32.456770
22284,5813,13273,2882,4644,3824,3085,2515,2022-03-14 00:41:33.467140
3422,13746,20562,1136,17407,9719,11898,8589,2022-03-14 00:41:34.451122
95569,32718,23170,4749,14859,11227,18693,9388,2022-03-14 00:41:35.443420
16946,11257,1676,6797,7013,6530,2749,2161,2022-03-14 00:41:36.446571
6753,37447,14140,10252,3845,8848,6311,9779,2022-03-14 00:41:37.444363
12489,8988,6813,4000,4130,3670,11940,7348,2022-03-14 00:41:38.447983
24303,24548,11002,7302,6787,7585,4770,5358,2022-03-14 00:41:39.460113
349972,29039,15810,8915,11361,13449,6507,11291,2022-03-14 00:41:40.466100
609159,45015,705,9003,4152,4948,5229,6990,2022-03-14 00:41:41.452301
59053,98821,54091,18836,10158,13162,6017,8986,2022-03-14 00:41:42.444334
21111,7911,7832,7044,7108,12614,11511,7113,2022-03-14 00:41:43.452844
94019,17293,4096,4667,4506,8459,5742,19949,2022-03-14 00:41:44.500584
23260,22686,6432,1506,8809,3565,3632,1864,2022-03-14 00:41:45.447951
6618,5892,2779,4496,5834,6620,5382,3965,2022-03-14 00:41:46.446632
21684,20031,1562,2119,1956,6511,2876,2884,2022-03-14 00:41:47.441750
17436,11715,5639,5693,11370,8213,6138,4882,2022-03-14 00:41:48.447061
16225,12480,13518,4686,7814,7436,3814,10536,2022-03-14 00:41:49.443695
1524480,187171,41100,16148,7165,16743,12978,13635,2022-03-14 00:41:50.446660
156362,39685,4695,2057,4796,7276,10511,21675,2022-03-14 00:41:51.488138
71898,77776,10331,15237,18252,9208,15066,17083,2022-03-14 00:41:52.446066
945963,56702,29231,4935,13418,11778,12823,12236,2022-03-14 00:41:53.453660
33685,31249,9687,11792,6402,9952,19517,10148,2022-03-14 00:41:54.450207
45314,50603,14954,19344,15321,20130,17986,12318,2022-03-14 00:41:55.458209
700955,63758,4839,9791,5474,11982,18071,8059,2022-03-14 00:41:56.484045
21199,13188,25547,21741,9080,8833,11253,15076,2022-03-14 00:41:57.455118
29472,13738,2441,7761,8027,7228,9425,11086,2022-03-14 00:41:58.462653
5907,11104,3268,3936,4283,9180,6428,6686,2022-03-14 00:41:59.455079
13063,27352,12297,8217,7814,7833,18405,12755,2022-03-14 00:42:00.455575
32759,22105,2373,10551,3346,4503,5079,2112,2022-03-14 00:42:01.442928
17314,18839,8373,5862,14110,13860,21944,17735,2022-03-14 00:42:02.468943
5711,4571,3889,2664,6416,7218,5417,8650,2022-03-14 00:42:03.454564
7812,7243,4373,6737,4090,7749,3442,2946,2022-03-14 00:42:04.446772
18080,3582,3507,2770,4116,2616,6326,1643,2022-03-14 00:42:05.449687
844425,111034,58711,3934,10293,11842,7286,6885,2022-03-14 00:42:06.443307
492655,30802,16830,10471,13476,8841,6109,8992,2022-03-14 00:42:07.441900
867951,44566,15161,4005,4970,3867,6807,6981,2022-03-14 00:42:08.447674
3770,8197,2551,3277,5641,9113,12985,11026,2022-03-14 00:42:09.491857
46507,12870,18277,1150,2074,8375,10789,7265,2022-03-14 00:42:10.451952
485771,63661,11974,7677,4443,9224,4022,4002,2022-03-14 00:42:11.462484
86417,31342,36412,13608,3854,10717,8333,4031,2022-03-14 00:42:12.443570
143054,55385,24213,8078,16320,7211,11395,5544,2022-03-14 00:42:13.444452
134681,42698,17792,29743,8525,13371,24898,11449,2022-03-14 00:42:14.454977
771969,58392,7148,8503,13813,15312,15277,11602,2022-03-14 00:42:15.442488
742735,84163,5474,14460,12143,16219,23641,11792,2022-03-14 00:42:16.470448
24061,19270,652,6987,7084,5436,6229,5254,2022-03-14 00:42:17.448777
468502,133449,21544,18217,8777,19580,14607,15828,2022-03-14 00:42:18.456821
8902,5173,2869,5497,8529,6047,1930,1866,2022-03-14 00:42:19.456944
518472,63207,6321,2068,3585,4702,5528,12758,2022-03-14 00:42:20.441053
7077,7833,8451,5903,7293,7975,3645,1920,2022-03-14 00:42:21.455176
234788,31228,5899,9793,2707,1329,3122,1808,2022-03-14 00:42:22.443185
225342,138979,18067,13971,30293,19818,23573,12294,2022-03-14 00:42:23.461443
71355,131845,42672,21960,20847,22409,23480,21036,2022-03-14 00:42:24.450340
805112,28902,20521,14352,8210,17059,13642,9966,2022-03-14 00:42:25.440953
973554,357810,29003,20801,28722,6405,11787,7007,2022-03-14 00:42:26.455679
